歌曲名称,歌曲url
心如止水,https://music.163.com/#/song?id=1349292048
飞行随笔(Airplane Freestyle),https://music.163.com/#/song?id=1320100120
7.棕旨,https://music.163.com/#/song?id=1321929928
红色-山河版,https://music.163.com/#/song?id=1394155242
6.白媚生,https://music.163.com/#/song?id=1327057005
明争暗斗,https://music.163.com/#/song?id=1349279287
变相怪杰,https://music.163.com/#/song?id=1378061994
鸦雀无声,https://music.163.com/#/song?id=1342823472
2.黄沙之下,https://music.163.com/#/song?id=1321929914
断桥记,https://music.163.com/#/song?id=1340192075
3.绿洲,https://music.163.com/#/song?id=1327060656
杀手修炼手册,https://music.163.com/#/song?id=1337549064
奈非天,https://music.163.com/#/song?id=1354037219
容身之地,https://music.163.com/#/song?id=1350571417
中间人,https://music.163.com/#/song?id=864498975
某人,https://music.163.com/#/song?id=1294144648
11.灰原哀,https://music.163.com/#/song?id=1321933263
Say Hello,https://music.163.com/#/song?id=520448416
12.橙汁,https://music.163.com/#/song?id=1321931465
寻找我,https://music.163.com/#/song?id=574766780
守夜人,https://music.163.com/#/song?id=1359803483
Run Dat Game,https://music.163.com/#/song?id=1329843323
We Don't Need A Break,https://music.163.com/#/song?id=524194019
9.粉细胞,https://music.163.com/#/song?id=1321941182
10.青涩,https://music.163.com/#/song?id=1321932349
不要链,https://music.163.com/#/song?id=1354265120
14.蓝伞,https://music.163.com/#/song?id=1321926963
怪圈,https://music.163.com/#/song?id=529663080
Caught My Love,https://music.163.com/#/song?id=532754058
失去,https://music.163.com/#/song?id=1376714769
没头脑和不高兴,https://music.163.com/#/song?id=511941850
海市蜃楼,https://music.163.com/#/song?id=1381402610
灬,https://music.163.com/#/song?id=517728418
地狱变相,https://music.163.com/#/song?id=1350571439
不知火,https://music.163.com/#/song?id=1364399507
斗转星移,https://music.163.com/#/song?id=1349279435
声泪俱下,https://music.163.com/#/song?id=1345844541
5.红房间,https://music.163.com/#/song?id=1327066230
罗生门,https://music.163.com/#/song?id=559745101
木石人心,https://music.163.com/#/song?id=1349285611
8.无法无天(Skit),https://music.163.com/#/song?id=1327059882
海之彼岸,https://music.163.com/#/song?id=1332958414
圣母院,https://music.163.com/#/song?id=1360470643
City Light,https://music.163.com/#/song?id=1305475995
1 MIN RAP | Play The Game（遵守规则）Prod.By Ice Paper,https://music.163.com/#/song?id=1359607718
4.黑森林,https://music.163.com/#/song?id=1321928886
1.无欲无求(Intro),https://music.163.com/#/song?id=1327056638
为你存在,https://music.163.com/#/song?id=1331560367
13.紫曰,https://music.163.com/#/song?id=1327071091
无雨,https://music.163.com/#/song?id=1385506180
