歌曲名称,歌曲url
偏爱,https://music.163.com/#/song?id=1397674264
别叫我达芬奇,https://music.163.com/#/song?id=1362247767
GOOD NIGHT,https://music.163.com/#/song?id=542690276
Unicorn,https://music.163.com/#/song?id=1297486087
Come Back - (救赎),https://music.163.com/#/song?id=1366506904
原来,https://music.163.com/#/song?id=1366506899
Artist (Live) - (原唱：Zico),https://music.163.com/#/song?id=543987405
It's Ok (Live),https://music.163.com/#/song?id=550136151
Forever (Live),https://music.163.com/#/song?id=550136152
听听我说的吧 (Live),https://music.163.com/#/song?id=545592271
I.W.A.B.N,https://music.163.com/#/song?id=1323303573
Tiger,https://music.163.com/#/song?id=1366507978
黑白 - (网剧《晨阳》片头曲),https://music.163.com/#/song?id=1356455302
上,https://music.163.com/#/song?id=1351664505
扑朔迷离 (跑得快),https://music.163.com/#/song?id=1318879277
友情岁月 (概念版) - (电影《转型团伙》概念曲),https://music.163.com/#/song?id=1355916305
Zero (Live),https://music.163.com/#/song?id=548648086
新生代 - (游戏《一起来飞车 》主题曲),https://music.163.com/#/song?id=503206163
偏爱 (伴奏),https://music.163.com/#/song?id=1397673393
Unicorn (Live),https://music.163.com/#/song?id=1311347322
Unicorn (伴奏),https://music.163.com/#/song?id=1297486088
扑朔迷离 (跑得快) - 伴奏,https://music.163.com/#/song?id=1318879278
I.W.A.B.N (伴奏),https://music.163.com/#/song?id=1323302540
黑白 (和声伴奏),https://music.163.com/#/song?id=1356492547
黑白 (伴奏),https://music.163.com/#/song?id=1356493268
上 (伴奏),https://music.163.com/#/song?id=1351664507
热气球,https://music.163.com/#/song?id=1393331825
Run Away (中文版) - (综艺宣传片《奇妙的食光》主题曲),https://music.163.com/#/song?id=1311397890
Hi Wake Up - (综艺《青春的花路》主题曲),https://music.163.com/#/song?id=1349976599
梦醒时分 (Live),https://music.163.com/#/song?id=1400002075
回来2019 (Live),https://music.163.com/#/song?id=1401042558
AKA.imp小鬼海选清唱片段 (Live),https://music.163.com/#/song?id=494408000
中国有嘻哈 EP11 RAP01 (Live),https://music.163.com/#/song?id=502925950
莫欺少年穷 (Live),https://music.163.com/#/song?id=494645047
中国有嘻哈 EP04 RAP01 (Live),https://music.163.com/#/song?id=494642190
中国有嘻哈 EP05 RAP01 (Live),https://music.163.com/#/song?id=494642280
中国有嘻哈 EP05 RAP02 (Live),https://music.163.com/#/song?id=494642281
中国有嘻哈 EP10 RAP01 (Live),https://music.163.com/#/song?id=501467089
中国有嘻哈 EP10 RAP02 (Live),https://music.163.com/#/song?id=501467096
别叫我达芬奇 (Live伴奏),https://music.163.com/#/song?id=1401040022
