歌曲名称,歌曲url
把孤独当做晚餐 - (原名：想死却又不敢),https://music.163.com/#/song?id=1379456709
把孤独当做晚餐(cover:群星) - (原名:想死却又不敢),https://music.163.com/#/song?id=1381969230
雅俗共赏（Cover：许嵩）,https://music.163.com/#/song?id=1390536307
我走后（Cover：小咪）,https://music.163.com/#/song?id=1384379256
幻听（Cover：许嵩）,https://music.163.com/#/song?id=1379416569
囚鸟（Cover：张宇）,https://music.163.com/#/song?id=1396187818
无名之辈（Cover：陈雪燃）,https://music.163.com/#/song?id=1382340786
回到原点,https://music.163.com/#/song?id=1396895953
《遗憾》-井胧（Cover：许美静）,https://music.163.com/#/song?id=1339783101
回到原点（伴奏）,https://music.163.com/#/song?id=1396895952
不谓侠（Cover：萧忆情Alex）,https://music.163.com/#/song?id=1384734081
来自天堂的魔鬼（Cover：G.E.M.邓紫棋）,https://music.163.com/#/song?id=1367019301
