歌曲名称,歌曲url
十七岁,https://music.163.com/#/song?id=1306459970
暗里着迷 (粤),https://music.163.com/#/song?id=29723022
一起走过的日子 (粤) - (电影《至尊无上Ⅱ之永霸天下》主题曲),https://music.163.com/#/song?id=29723028
17岁(粤),https://music.163.com/#/song?id=29723041
练习,https://music.163.com/#/song?id=554191989
谢谢你的爱,https://music.163.com/#/song?id=110184
来生缘,https://music.163.com/#/song?id=112908
我恨我痴心,https://music.163.com/#/song?id=110146
世界第一等(Live),https://music.163.com/#/song?id=110761
冰雨(Live),https://music.163.com/#/song?id=110397
承诺(香港版),https://music.163.com/#/song?id=5251209
笨小孩(国),https://music.163.com/#/song?id=29723024
忘情水(Live),https://music.163.com/#/song?id=110740
男人哭吧不是罪,https://music.163.com/#/song?id=1306459977
兄弟 - (电影《兄弟》主题曲),https://music.163.com/#/song?id=65487
情感的禁区,https://music.163.com/#/song?id=113586
无间道(粤) - (电影《无间道》国语主题曲),https://music.163.com/#/song?id=29723039
天意(Live),https://music.163.com/#/song?id=109739
爱你一万年(国),https://music.163.com/#/song?id=29723035
黑蝙蝠中队,https://music.163.com/#/song?id=1306459976
中国人(Live),https://music.163.com/#/song?id=110743
最好的声音,https://music.163.com/#/song?id=5277180
开心的马骝(2007中国巡回演唱会),https://music.163.com/#/song?id=30474601
缘尽 - (电影《龙凤茶楼》歌曲),https://music.163.com/#/song?id=399504041
如果你是我的传说,https://music.163.com/#/song?id=402428212
独自去偷欢(Live),https://music.163.com/#/song?id=110706
孤星泪(Live),https://music.163.com/#/song?id=109751
上海滩(Live),https://music.163.com/#/song?id=111106
兄弟不怀疑 - (电影《扫毒2》主题曲),https://music.163.com/#/song?id=1374483148
假装(Live),https://music.163.com/#/song?id=110372
鸽子情缘,https://music.163.com/#/song?id=1306459968
可不可以,https://music.163.com/#/song?id=110155
浪子心声(Live),https://music.163.com/#/song?id=110731
123木头人,https://music.163.com/#/song?id=27927147
一生何求 - (无线电视剧《义不容情》主题曲),https://music.163.com/#/song?id=64787
你是我的女人 (粤),https://music.163.com/#/song?id=29723023
再吻我吧,https://music.163.com/#/song?id=110172
祝福你,https://music.163.com/#/song?id=36953934
My Love - (MY LOVE 世界巡回演唱会同名主题曲),https://music.163.com/#/song?id=1321392631
绝望的笑容,https://music.163.com/#/song?id=110159
他的女人(Live),https://music.163.com/#/song?id=110749
难说再见,https://music.163.com/#/song?id=5250128
牧笛(国),https://music.163.com/#/song?id=29723029
情是那么笨,https://music.163.com/#/song?id=112330
仍唱我的歌(Live),https://music.163.com/#/song?id=110423
真永远(Live),https://music.163.com/#/song?id=109749
我终于失去,https://music.163.com/#/song?id=112326
你震憾我的心灵,https://music.163.com/#/song?id=112317
慢慢习惯 - (电影《拆弹专家》主题曲),https://music.163.com/#/song?id=469699365
回家的路 (Live),https://music.163.com/#/song?id=30967197
