歌曲名称,歌曲url
MY BOO,https://music.163.com/#/song?id=1395632515
Hey KONG,https://music.163.com/#/song?id=1383954630
Hey Kong (Live),https://music.163.com/#/song?id=1384570306
孤独症DEMO,https://music.163.com/#/song?id=485508366
长沙HOOD,https://music.163.com/#/song?id=1294467974
黄土高坡TRAP (Live),https://music.163.com/#/song?id=1386079854
两个世界,https://music.163.com/#/song?id=1334473377
夜寞寂Kimoji,https://music.163.com/#/song?id=1337032503
Fly Away (ft. KEY.L刘聪/刘炫廷) (Live),https://music.163.com/#/song?id=1383211739
斗地主,https://music.163.com/#/song?id=1377785184
Life's a movie,https://music.163.com/#/song?id=1329475622
黄土高坡Trap,https://music.163.com/#/song?id=1386582919
天命之军,https://music.163.com/#/song?id=1321841207
Monica,https://music.163.com/#/song?id=518511084
哥们Freestyle,https://music.163.com/#/song?id=1295724562
二手摩托,https://music.163.com/#/song?id=516857815
江湖流 (Live),https://music.163.com/#/song?id=1374647512
Life's a movie (Live),https://music.163.com/#/song?id=1384562913
HOLD MA HAND,https://music.163.com/#/song?id=466023457
Hadoken (Live),https://music.163.com/#/song?id=1380312742
天地之心 (Live),https://music.163.com/#/song?id=1386080662
离家出走,https://music.163.com/#/song?id=1331448190
半吊子,https://music.163.com/#/song?id=530623382
长沙HOOD (Live),https://music.163.com/#/song?id=1380312787
Hadouken!,https://music.163.com/#/song?id=1380689048
第一轮 现实VS梦想,https://music.163.com/#/song?id=1381764098
宇宙摩天轮,https://music.163.com/#/song?id=527625395
黑色的梦,https://music.163.com/#/song?id=1333018503
逍遥FLOW,https://music.163.com/#/song?id=525956078
斗地主之无影无踪,https://music.163.com/#/song?id=1378103322
KEY to L ,https://music.163.com/#/song?id=1336864187
第二轮 名气VS实力,https://music.163.com/#/song?id=1381764127
阿萨辛摇篮曲（clean version）,https://music.163.com/#/song?id=479174338
小黑屋,https://music.163.com/#/song?id=1336856193
桃花结之亲密爱人,https://music.163.com/#/song?id=544943143
KEY.L 阿卡贝拉 (live),https://music.163.com/#/song?id=1373168822
沙漠之花 (feat.Key.L),https://music.163.com/#/song?id=862102679
第三轮 潮流VS跟风,https://music.163.com/#/song?id=1381764130
未婚妈妈,https://music.163.com/#/song?id=1336856225
桃花结,https://music.163.com/#/song?id=537327000
泡泡范特西,https://music.163.com/#/song?id=1336866896
CSC 4 REAL,https://music.163.com/#/song?id=1351291806
同路人,https://music.163.com/#/song?id=532364198
行运一条龙,https://music.163.com/#/song?id=541277527
港口,https://music.163.com/#/song?id=523128664
逗霸,https://music.163.com/#/song?id=522029768
绿林好汉,https://music.163.com/#/song?id=552280516
醒来,https://music.163.com/#/song?id=543698255
不知道DEMO,https://music.163.com/#/song?id=1317427127
Intro,https://music.163.com/#/song?id=1336856224
