歌曲名称,歌曲url
与火星的孩子对话,https://music.163.com/#/song?id=1399533630
烟火里的尘埃,https://music.163.com/#/song?id=29004400
国王与乞丐,https://music.163.com/#/song?id=32835565
我管你,https://music.163.com/#/song?id=32619105
异类,https://music.163.com/#/song?id=33190545
齐天 - (电影《悟空传》主题曲),https://music.163.com/#/song?id=481859794
Here We Are  - (电影《使徒行者》主题曲),https://music.163.com/#/song?id=420125810
寒鸦少年 - (电视剧《斗破苍穹》主题曲),https://music.163.com/#/song?id=1305366556
无聊人,https://music.163.com/#/song?id=507364050
我离孤单几公里,https://music.163.com/#/song?id=432698831
寻 - (综艺《花儿与少年3·冒险季》主题曲),https://music.163.com/#/song?id=472137749
智商二五零 - (手游《王者荣耀》鲁班七号英雄主打歌),https://music.163.com/#/song?id=509135782
For Forever,https://music.163.com/#/song?id=426291338
蜉蝣,https://music.163.com/#/song?id=34228112
微光 - (Shimmer),https://music.163.com/#/song?id=29418037
地球之盐,https://music.163.com/#/song?id=34964198
我们都是孤独的,https://music.163.com/#/song?id=29418042
我的滑板鞋2016 (录音室版),https://music.163.com/#/song?id=440411226
消失的昨天,https://music.163.com/#/song?id=432698825
造物者,https://music.163.com/#/song?id=419250437
To Be Free - (电影《勇士之门》宣传曲),https://music.163.com/#/song?id=422463501
巨鹿,https://music.163.com/#/song?id=417833854
卡西莫多的礼物,https://music.163.com/#/song?id=29357467
写给未来的孩子,https://music.163.com/#/song?id=434981391
自己的太阳,https://music.163.com/#/song?id=29343845
世界是个动物园,https://music.163.com/#/song?id=434981389
随我 - (2017快乐男声主题曲),https://music.163.com/#/song?id=471374398
拆弹专家,https://music.163.com/#/song?id=29418040
Let You Go,https://music.163.com/#/song?id=29418038
逃离乌托邦,https://music.163.com/#/song?id=434981388
忧伤的巨人,https://music.163.com/#/song?id=434981393
癌,https://music.163.com/#/song?id=31645164
趁你还年轻 - (电影《等风来》推广曲),https://music.163.com/#/song?id=28160015
环游,https://music.163.com/#/song?id=29418041
火星情报局,https://music.163.com/#/song?id=409060097
Why Nobody Fights,https://music.163.com/#/song?id=28949328
花儿与少年 - (真人秀《花儿与少年第一季》主题曲),https://music.163.com/#/song?id=28497630
不朽,https://music.163.com/#/song?id=29418043
我(live版),https://music.163.com/#/song?id=29785948
枕边故事,https://music.163.com/#/song?id=29418045
夏之旅 - (Fresh Trip),https://music.163.com/#/song?id=571340083
变相怪杰,https://music.163.com/#/song?id=434981390
穿心 - (电视剧《相爱穿梭千年2：月光下的交换》主题曲),https://music.163.com/#/song?id=522320210
反义词,https://music.163.com/#/song?id=33497110
春(Live版),https://music.163.com/#/song?id=29785930
就这Young,https://music.163.com/#/song?id=30569534
我和我,https://music.163.com/#/song?id=522320048
Chandelier - (150413第十五届音乐风云榜年度盛典),https://music.163.com/#/song?id=34364633
安全感(live),https://music.163.com/#/song?id=30394408
高手归来 (Live),https://music.163.com/#/song?id=34078140
