歌曲名称,歌曲url
布拉格广场,https://music.163.com/#/song?id=210049
给我一首歌的时间 - (超时代演唱会),https://music.163.com/#/song?id=34834174
魔术与歌曲：告白气球,https://music.163.com/#/song?id=536570450
屋顶,https://music.163.com/#/song?id=5257138
屋顶,https://music.163.com/#/song?id=298317
刀马旦,https://music.163.com/#/song?id=255020
骑士精神,https://music.163.com/#/song?id=210062
手牵手 - (2003年抗非典公益歌曲),https://music.163.com/#/song?id=5268423
海盗,https://music.163.com/#/song?id=406346416
刀马旦,https://music.163.com/#/song?id=186064
布拉格广场,https://music.163.com/#/song?id=29393641
祝我生日快乐 (Live),https://music.163.com/#/song?id=298101
康定情歌,https://music.163.com/#/song?id=288382
眼泪成诗(Live),https://music.163.com/#/song?id=34167344
夜店咖,https://music.163.com/#/song?id=29808783
刀马旦,https://music.163.com/#/song?id=185750
山歌好比春江水.多谢了(Live),https://music.163.com/#/song?id=288750
黄浦江深,https://music.163.com/#/song?id=288371
屋顶,https://music.163.com/#/song?id=298110
结尾曲-友谊地久天长(Live),https://music.163.com/#/song?id=288820
刀马旦,https://music.163.com/#/song?id=5257160
刀马旦,https://music.163.com/#/song?id=29393649
刀马旦,https://music.163.com/#/song?id=254832
刀马旦,https://music.163.com/#/song?id=1372847156
刀马旦,https://music.163.com/#/song?id=5268828
刀马旦,https://music.163.com/#/song?id=254942
给我一首歌的时间,https://music.163.com/#/song?id=185694
烟花易冷,https://music.163.com/#/song?id=185668
花海,https://music.163.com/#/song?id=185697
爱的飞行日记,https://music.163.com/#/song?id=185678
说了再见 - (电影《海洋天堂》主题曲),https://music.163.com/#/song?id=185667
超人不会飞 - (内地版),https://music.163.com/#/song?id=185686
雨下一整晚,https://music.163.com/#/song?id=185672
Mine Mine,https://music.163.com/#/song?id=185615
好久不见,https://music.163.com/#/song?id=185670
我落泪 情绪零碎,https://music.163.com/#/song?id=185676
龙战骑士,https://music.163.com/#/song?id=185692
公主病,https://music.163.com/#/song?id=185616
你好吗,https://music.163.com/#/song?id=185617
自导自演,https://music.163.com/#/song?id=185680
跨时代,https://music.163.com/#/song?id=185666
世界未末日,https://music.163.com/#/song?id=185621
超跑女神,https://music.163.com/#/song?id=185623
琴伤,https://music.163.com/#/song?id=185619
蛇舞,https://music.163.com/#/song?id=185696
惊叹号,https://music.163.com/#/song?id=185613
迷魂曲,https://music.163.com/#/song?id=185614
疗伤烧肉粽,https://music.163.com/#/song?id=185618
水手怕水,https://music.163.com/#/song?id=185620
皮影戏,https://music.163.com/#/song?id=185622
