歌曲名称,歌曲url
够钟,https://music.163.com/#/song?id=191528
你还怕大雨吗(国语),https://music.163.com/#/song?id=27646409
传闻,https://music.163.com/#/song?id=400075263
走狗,https://music.163.com/#/song?id=191508
宏愿,https://music.163.com/#/song?id=191534
一事无成,https://music.163.com/#/song?id=191560
小白,https://music.163.com/#/song?id=30245576
我的宣言 - (My Vow),https://music.163.com/#/song?id=27646405
还记得,https://music.163.com/#/song?id=29379544
告白 (V.O. Version),https://music.163.com/#/song?id=298089
我不要被你记住,https://music.163.com/#/song?id=191510
最好不过,https://music.163.com/#/song?id=191504
到此为止 (iTunes Session),https://music.163.com/#/song?id=29129735
百年不合,https://music.163.com/#/song?id=31514961
让爱高飞,https://music.163.com/#/song?id=1395987557
哦,https://music.163.com/#/song?id=191552
莫失莫忘,https://music.163.com/#/song?id=29379542
无力挽回,https://music.163.com/#/song?id=26304079
傻小子,https://music.163.com/#/song?id=191548
等不到,https://music.163.com/#/song?id=37156099
陈某,https://music.163.com/#/song?id=191525
终于我们 - (One Step Closer),https://music.163.com/#/song?id=454711144
有生一天,https://music.163.com/#/song?id=451473847
近在千里,https://music.163.com/#/song?id=460873724
背后女人,https://music.163.com/#/song?id=1294591024
Rumors(传闻),https://music.163.com/#/song?id=28285736
日落日出,https://music.163.com/#/song?id=400075152
Smiley Face,https://music.163.com/#/song?id=191489
男人背后,https://music.163.com/#/song?id=553753133
小孩 - (Child),https://music.163.com/#/song?id=28341500
樱花树下,https://music.163.com/#/song?id=444269722
天网 - (电视剧《使徒行者2》主题曲),https://music.163.com/#/song?id=1332469336
Imperfect,https://music.163.com/#/song?id=25706228
六天,https://music.163.com/#/song?id=191588
想太多,https://music.163.com/#/song?id=26304088
乌托邦 - (电视剧《再创世纪》主题曲),https://music.163.com/#/song?id=1302428716
现在已夜深,https://music.163.com/#/song?id=28684208
上次讲到,https://music.163.com/#/song?id=31514960
相安无事,https://music.163.com/#/song?id=33190808
磨牙,https://music.163.com/#/song?id=37156097
错配,https://music.163.com/#/song?id=26304080
不可能 - (电影《我老婆是明星》主题曲),https://music.163.com/#/song?id=404166637
双人床的空位,https://music.163.com/#/song?id=27646407
我不动,https://music.163.com/#/song?id=31514962
月光浓汤,https://music.163.com/#/song?id=484058594
同天空,https://music.163.com/#/song?id=26304086
老少平安,https://music.163.com/#/song?id=1315508963
一拖再拖,https://music.163.com/#/song?id=191550
天光,https://music.163.com/#/song?id=27511543
最后召集,https://music.163.com/#/song?id=1332467500
