歌曲名称,歌曲url
野狼disco,https://music.163.com/#/song?id=1357785909
野狼disco (Live),https://music.163.com/#/song?id=1384570303
山河图 (Live),https://music.163.com/#/song?id=1384570100
社会老舅摇 (Prod.by Box Of Wolves),https://music.163.com/#/song?id=516534807
路易,https://music.163.com/#/song?id=553237564
你的老舅,https://music.163.com/#/song?id=510394354
龙门客栈,https://music.163.com/#/song?id=456018615
千万之王,https://music.163.com/#/song?id=1350037967
浪漫男银,https://music.163.com/#/song?id=559782024
Young Mafia（Remix）,https://music.163.com/#/song?id=1322300569
同学聚会,https://music.163.com/#/song?id=569510799
夏日发廊,https://music.163.com/#/song?id=1295923262
Young Slav,https://music.163.com/#/song?id=864303469
Young MafiA,https://music.163.com/#/song?id=1316481726
Legend (Live),https://music.163.com/#/song?id=1376121145
海子,https://music.163.com/#/song?id=520102491
钱雨,https://music.163.com/#/song?id=1346054792
Pretty Boy’s Dirty South,https://music.163.com/#/song?id=1382940017
打包,https://music.163.com/#/song?id=552236556
王骞Boc - 来日方长,https://music.163.com/#/song?id=513213742
砂岚 (Prod.By.SuperDeep&DJ Jamie),https://music.163.com/#/song?id=864648371
《样带:38场29镜2次》,https://music.163.com/#/song?id=423015862
宝石gem 阿卡贝拉 (live),https://music.163.com/#/song?id=1373195668
野狼disco (伴奏),https://music.163.com/#/song?id=1401242698
城市忍者疾风传（Cover the first sigh）,https://music.163.com/#/song?id=511829685
young blood,https://music.163.com/#/song?id=1370980254
Drag Me Down (Feat.宝石Gem),https://music.163.com/#/song?id=571471232
桃花扇,https://music.163.com/#/song?id=520100486
Lambor,https://music.163.com/#/song?id=1325731943
远和近（Cover sunrise sunset re:plus）,https://music.163.com/#/song?id=522886570
出师表3.0,https://music.163.com/#/song?id=520101288
说不出口,https://music.163.com/#/song?id=572707718
WOLFMAN,https://music.163.com/#/song?id=544026428
远和近,https://music.163.com/#/song?id=544026632
Bye Bye,https://music.163.com/#/song?id=520033921
旅行,https://music.163.com/#/song?id=520101572
Zion.T-杨花大桥（宝石gem Remix）,https://music.163.com/#/song?id=545081801
香槟,https://music.163.com/#/song?id=540613528
行走在黑夜,https://music.163.com/#/song?id=520101548
在路上,https://music.163.com/#/song?id=520100636
一夜,https://music.163.com/#/song?id=520032975
摩天大圣,https://music.163.com/#/song?id=520100802
killa eat noodle（Cover 21savage）,https://music.163.com/#/song?id=521619171
假如你属于我,https://music.163.com/#/song?id=520100581
一个传奇,https://music.163.com/#/song?id=520032911
We are the city（remix）,https://music.163.com/#/song?id=520100837
那首歌,https://music.163.com/#/song?id=520100464
留灯,https://music.163.com/#/song?id=547290192
21 Savage - No Heart - Killa Eat Noodle (Prod by Young Metro),https://music.163.com/#/song?id=521525985
宝石gem-野狼disco&野狼Dubstep（梦响96 (Mc Mango) / 宝石gem remix）,https://music.163.com/#/song?id=1399492414
