歌曲名称,歌曲url
我走后,https://music.163.com/#/song?id=1370047789
即兴,https://music.163.com/#/song?id=1325896149
眼里,https://music.163.com/#/song?id=1361997765
即兴 (说唱版),https://music.163.com/#/song?id=1340400068
自己,https://music.163.com/#/song?id=1335545209
无需依靠,https://music.163.com/#/song?id=1350113921
十六,https://music.163.com/#/song?id=1384535630
眼里 (520版),https://music.163.com/#/song?id=1366583598
即兴 (伴奏),https://music.163.com/#/song?id=1325898153
我走后 (伴奏),https://music.163.com/#/song?id=1370047790
即兴 (说唱版伴奏),https://music.163.com/#/song?id=1340396641
十六 (伴奏),https://music.163.com/#/song?id=1385628904
自己 (伴奏),https://music.163.com/#/song?id=1335545210
无需依靠 (伴奏),https://music.163.com/#/song?id=1350112999
眼里 (520版伴奏),https://music.163.com/#/song?id=1366583599
眼里 (伴奏),https://music.163.com/#/song?id=1362000702
