歌曲名称,歌曲url
飘向北方 (Live),https://music.163.com/#/song?id=1308818967
连名带姓,https://music.163.com/#/song?id=1401267982
寂寞寂寞就好,https://music.163.com/#/song?id=1390853266
昨日青空 - (电影《昨日青空》同名青春主题曲),https://music.163.com/#/song?id=1293951677
AZORAland,https://music.163.com/#/song?id=1397695614
爱不由我 - (电视剧《亲爱的，热爱的》插曲),https://music.163.com/#/song?id=1376140391
我怀念的 (Live) - (原唱：孙燕姿),https://music.163.com/#/song?id=543988388
戒烟 (Live),https://music.163.com/#/song?id=548648087
荒诞学家,https://music.163.com/#/song?id=1391676531
It's Ok (Live),https://music.163.com/#/song?id=550136151
Forever (Live),https://music.163.com/#/song?id=550136152
我永远记得 (Live),https://music.163.com/#/song?id=545589259
Can't Stop (A组现场版)  - (原唱：CNBLUE),https://music.163.com/#/song?id=534539367
被劫持的思念 - (电视剧《七月与安生》插曲),https://music.163.com/#/song?id=1379646452
城里的月光 (Live),https://music.163.com/#/song?id=1399109069
投己所好,https://music.163.com/#/song?id=1371167139
神奇的汉字,https://music.163.com/#/song?id=1369543213
连名带姓 (伴奏),https://music.163.com/#/song?id=1401267985
寂寞寂寞就好 (伴奏),https://music.163.com/#/song?id=1390853267
昨日青空 (伴奏),https://music.163.com/#/song?id=1293905703
Maybe Someday,https://music.163.com/#/song?id=1393331826
一颗星的夜,https://music.163.com/#/song?id=1365648794
一个人记得,https://music.163.com/#/song?id=1372933867
傲红尘 - (电视剧《扶摇》人物主题曲),https://music.163.com/#/song?id=574925623
西遇,https://music.163.com/#/song?id=1312166632
Christmas有你,https://music.163.com/#/song?id=1332662164
Hi Wake Up - (综艺《青春的花路》主题曲),https://music.163.com/#/song?id=1349976599
那时的我，现在的我,https://music.163.com/#/song?id=1389812515
远走高飞 (Live),https://music.163.com/#/song?id=1347488288
Love Hate,https://music.163.com/#/song?id=1389812504
卖汤圆 (Live),https://music.163.com/#/song?id=1347488289
归去来 (Live),https://music.163.com/#/song?id=1401018970
