歌曲名称,歌曲url
玻璃之情,https://music.163.com/#/song?id=186436
春夏秋冬,https://music.163.com/#/song?id=186453
沉默是金,https://music.163.com/#/song?id=188204
当爱已成往事,https://music.163.com/#/song?id=26620756
当年情(Live),https://music.163.com/#/song?id=188451
倩女幽魂 - (电影《倩女幽魂》主题曲),https://music.163.com/#/song?id=188175
千千阙歌(Live),https://music.163.com/#/song?id=188459
有心人,https://music.163.com/#/song?id=29343372
心跳呼吸正常,https://music.163.com/#/song?id=186490
风继续吹(Live),https://music.163.com/#/song?id=188489
怪你过份美丽,https://music.163.com/#/song?id=29343374
我,https://music.163.com/#/song?id=187374
想你,https://music.163.com/#/song?id=186707
别话,https://music.163.com/#/song?id=188222
风再起时,https://music.163.com/#/song?id=186760
追 - (电影《金枝玉叶》插曲),https://music.163.com/#/song?id=186421
Monica(Live),https://music.163.com/#/song?id=187076
似水流年,https://music.163.com/#/song?id=188591
最冷一天,https://music.163.com/#/song?id=187786
愿你决定,https://music.163.com/#/song?id=187408
共同渡过,https://music.163.com/#/song?id=186699
左右手,https://music.163.com/#/song?id=187564
洁身自爱,https://music.163.com/#/song?id=186488
这些年来,https://music.163.com/#/song?id=29343376
无心睡眠,https://music.163.com/#/song?id=186689
月亮代表我的心,https://music.163.com/#/song?id=186843
地球大合唱,https://music.163.com/#/song?id=5285096
午后红茶,https://music.163.com/#/song?id=187402
奔向未来日子 - (电影《英雄本色Ⅱ》主题曲),https://music.163.com/#/song?id=186623
芳华绝代,https://music.163.com/#/song?id=36861903
路过蜻蜓,https://music.163.com/#/song?id=186820
至少还有你 (00 Live)(live版),https://music.163.com/#/song?id=26075355
胭脂扣 - (电影《胭脂扣》主题曲),https://music.163.com/#/song?id=186626
寂寞夜晚,https://music.163.com/#/song?id=26075328
春光乍泄,https://music.163.com/#/song?id=186852
再恋,https://music.163.com/#/song?id=188897
蝶变,https://music.163.com/#/song?id=186899
暴风一族,https://music.163.com/#/song?id=29343361
拒绝再玩,https://music.163.com/#/song?id=186693
为你钟情(Live),https://music.163.com/#/song?id=187083
今生今世 - (电影《金枝玉叶》插曲),https://music.163.com/#/song?id=26620787
你这样恨我,https://music.163.com/#/song?id=187527
侯斯顿之恋,https://music.163.com/#/song?id=187382
全世界只想你来爱我,https://music.163.com/#/song?id=187600
无需要太多,https://music.163.com/#/song?id=31446066
侧面,https://music.163.com/#/song?id=31446072
蓝色忧郁＋少女心事＋不羁的风＋Monica,https://music.163.com/#/song?id=188447
身边有人,https://music.163.com/#/song?id=187387
你在何地,https://music.163.com/#/song?id=186696
我未惊过 - (电影《最佳拍档之兵马俑风云》主题曲),https://music.163.com/#/song?id=186562
