歌曲名称,歌曲url
烦恼歌,https://music.163.com/#/song?id=187672
遥远的她,https://music.163.com/#/song?id=191232
吻别,https://music.163.com/#/song?id=190449
如果这都不算爱,https://music.163.com/#/song?id=188432
慢慢,https://music.163.com/#/song?id=189315
饿狼传说,https://music.163.com/#/song?id=190270
一千个伤心的理由 (Live),https://music.163.com/#/song?id=189396
只想一生跟你走,https://music.163.com/#/song?id=189987
情书,https://music.163.com/#/song?id=188674
等你等到我心痛,https://music.163.com/#/song?id=190360
还是觉得你最好,https://music.163.com/#/song?id=190380
她来听我的演唱会,https://music.163.com/#/song?id=188647
李香兰,https://music.163.com/#/song?id=188703
你最珍贵,https://music.163.com/#/song?id=188657
我真的受伤了,https://music.163.com/#/song?id=188429
一路上有你,https://music.163.com/#/song?id=188071
相思风雨中 - (电视剧《出位江湖》插曲),https://music.163.com/#/song?id=188555
"相爱很难(电影""男人四十""歌曲)",https://music.163.com/#/song?id=36861904
心如刀割,https://music.163.com/#/song?id=188671
回头太难,https://music.163.com/#/song?id=189072
离开以后,https://music.163.com/#/song?id=189841
承诺(香港版),https://music.163.com/#/song?id=5251209
小城大事 (live),https://music.163.com/#/song?id=187937
每天爱你多一些,https://music.163.com/#/song?id=190563
秋意浓,https://music.163.com/#/song?id=190473
离人,https://music.163.com/#/song?id=188989
旧情绵绵,https://music.163.com/#/song?id=189714
雨夜的浪漫,https://music.163.com/#/song?id=188747
忘情冷雨夜,https://music.163.com/#/song?id=190807
忘记你我做不到,https://music.163.com/#/song?id=189313
祝福,https://music.163.com/#/song?id=190328
头发乱了,https://music.163.com/#/song?id=189012
月半弯,https://music.163.com/#/song?id=5251908
这么近那么远,https://music.163.com/#/song?id=94743
只愿一生爱一人,https://music.163.com/#/song?id=190803
夕阳醉了,https://music.163.com/#/song?id=190808
咖啡,https://music.163.com/#/song?id=188261
爱你痛到不知痛 - (1999年TVB版电视剧《雪山飞狐》主题曲),https://music.163.com/#/song?id=188948
我等到花儿也谢了,https://music.163.com/#/song?id=189873
你的名字 我的姓氏,https://music.163.com/#/song?id=110805
地球大合唱,https://music.163.com/#/song?id=5285096
情网,https://music.163.com/#/song?id=190452
你好毒,https://music.163.com/#/song?id=188820
约定 (live),https://music.163.com/#/song?id=187911
听海 (live),https://music.163.com/#/song?id=187908
爱很简单 (live),https://music.163.com/#/song?id=187944
情人 (live),https://music.163.com/#/song?id=187966
想和你去吹吹风,https://music.163.com/#/song?id=189212
留住这时光 (Full Version),https://music.163.com/#/song?id=190443
分手总要在雨天,https://music.163.com/#/song?id=190372
