歌曲名称,歌曲url
月亮惹的祸,https://music.163.com/#/song?id=190526
给你们,https://music.163.com/#/song?id=190499
雨一直下 - (台视《情深到来生》片头主题曲),https://music.163.com/#/song?id=190495
曲终人散,https://music.163.com/#/song?id=190241
用心良苦,https://music.163.com/#/song?id=190778
囚鸟,https://music.163.com/#/song?id=190246
一言难尽,https://music.163.com/#/song?id=190690
趁早,https://music.163.com/#/song?id=27583525
小小的太阳,https://music.163.com/#/song?id=190532
袖手旁观,https://music.163.com/#/song?id=28427734
男人的好,https://music.163.com/#/song?id=190643
我是真的爱你,https://music.163.com/#/song?id=28427726
大女人,https://music.163.com/#/song?id=190234
心术 - (电视剧《心术》主题曲),https://music.163.com/#/song?id=190165
走样 - (卫视中文台《新少林寺》片尾曲),https://music.163.com/#/song?id=190496
迷迭香,https://music.163.com/#/song?id=28427751
勇敢说再见,https://music.163.com/#/song?id=472752184
单恋一枝花,https://music.163.com/#/song?id=190559
假行僧,https://music.163.com/#/song?id=28427788
20岁的眼泪,https://music.163.com/#/song?id=28341143
伞下,https://music.163.com/#/song?id=190180
一个人的天荒地老,https://music.163.com/#/song?id=190582
追梦人 + 野百合也有春天 + 鹿港小镇 + 沉默的表示 + 爱的箴言 + 是否 ,https://music.163.com/#/song?id=430208761
回头太难,https://music.163.com/#/song?id=190727
情有独钟,https://music.163.com/#/song?id=190404
傻瓜与野丫头,https://music.163.com/#/song?id=190329
浪人情歌,https://music.163.com/#/song?id=28427781
用尽一生的爱,https://music.163.com/#/song?id=177309
回心转意,https://music.163.com/#/song?id=5275426
祝我幸福 (Live) - (原唱：杨乃文),https://music.163.com/#/song?id=28427773
张三的歌,https://music.163.com/#/song?id=34614284
猜心,https://music.163.com/#/song?id=190400
千金难买,https://music.163.com/#/song?id=190434
预言 - (新视《神雕侠侣》主题曲),https://music.163.com/#/song?id=229973
圆谎,https://music.163.com/#/song?id=190213
沙漠海,https://music.163.com/#/song?id=190594
消息,https://music.163.com/#/song?id=190658
女人到底想什么,https://music.163.com/#/song?id=191063
替身 - (电视剧《大宅门》主题曲),https://music.163.com/#/song?id=190205
爱过境迁,https://music.163.com/#/song?id=190209
离爱不远,https://music.163.com/#/song?id=28427758
当时,https://music.163.com/#/song?id=190510
缘散缘聚 - (1998年新加坡版《神雕侠侣》主题曲),https://music.163.com/#/song?id=29122712
没关系,https://music.163.com/#/song?id=190230
伤心的人别听慢歌 + 舞娘 (Live),https://music.163.com/#/song?id=28391019
爱情条约,https://music.163.com/#/song?id=190275
这一生我只牵你的手,https://music.163.com/#/song?id=190757
割心,https://music.163.com/#/song?id=190793
蛋佬的棉袄,https://music.163.com/#/song?id=190677
旅程 - (动画《东方少年之击斗战车》片尾曲),https://music.163.com/#/song?id=33414660
