歌曲名称,歌曲url
只是太爱你,https://music.163.com/#/song?id=28111646
断点,https://music.163.com/#/song?id=189323
吻得太逼真,https://music.163.com/#/song?id=5250048
春秋,https://music.163.com/#/song?id=188550
酷爱,https://music.163.com/#/song?id=189140
樱花树下,https://music.163.com/#/song?id=188384
爱的故事上集(Live),https://music.163.com/#/song?id=188522
少女的祈祷,https://music.163.com/#/song?id=25727428
不吐不快,https://music.163.com/#/song?id=188878
后来(国)(Live),https://music.163.com/#/song?id=188649
衬,https://music.163.com/#/song?id=188552
披星戴月,https://music.163.com/#/song?id=188376
尘埃落定,https://music.163.com/#/song?id=28138170
石径,https://music.163.com/#/song?id=188556
无能为力,https://music.163.com/#/song?id=189238
值得,https://music.163.com/#/song?id=25727424
骚灵情歌,https://music.163.com/#/song?id=28111630
过云雨,https://music.163.com/#/song?id=189207
我的天,https://music.163.com/#/song?id=189155
遇见(国)(Live),https://music.163.com/#/song?id=188491
听说爱情回来过(Live),https://music.163.com/#/song?id=188815
My Way,https://music.163.com/#/song?id=189243
悲剧人物,https://music.163.com/#/song?id=189161
余震,https://music.163.com/#/song?id=28111645
他的故事,https://music.163.com/#/song?id=28111634
假如让你吻下去(Live),https://music.163.com/#/song?id=188788
留低锁匙,https://music.163.com/#/song?id=28111625
摄氏零度,https://music.163.com/#/song?id=188397
笑忘书,https://music.163.com/#/song?id=189181
吻得太逼真/酷爱(Live),https://music.163.com/#/song?id=5240868
为何他会离开你(Live),https://music.163.com/#/song?id=188835
怎么可,https://music.163.com/#/song?id=28111648
期待,https://music.163.com/#/song?id=189349
单打独斗,https://music.163.com/#/song?id=28111610
追风筝的孩子,https://music.163.com/#/song?id=189143
井,https://music.163.com/#/song?id=188254
DEADLINE,https://music.163.com/#/song?id=188365
壮举,https://music.163.com/#/song?id=28111649
隔夜茶,https://music.163.com/#/song?id=188568
追 (Live),https://music.163.com/#/song?id=29023561
至少还有你,https://music.163.com/#/song?id=5247634
诱惑的街(Live),https://music.163.com/#/song?id=188791
婚纱背后,https://music.163.com/#/song?id=188391
钟无艳(Live),https://music.163.com/#/song?id=188976
那些感动过人的情歌Medley(Live) - (你把我灌醉+新不了情+追+哭了+淘汰),https://music.163.com/#/song?id=5241979
蔓珠莎华(Live),https://music.163.com/#/song?id=188308
那么爱你为什么(国)(Live),https://music.163.com/#/song?id=188625
夜机,https://music.163.com/#/song?id=25727421
爱上一个不回家的人(Live),https://music.163.com/#/song?id=188832
男孩最痛,https://music.163.com/#/song?id=189151
