歌曲名称,歌曲url
只要平凡 - (电影《我不是药神》主题曲),https://music.163.com/#/song?id=574919767
他不懂,https://music.163.com/#/song?id=28059417
天下,https://music.163.com/#/song?id=191254
明天过后,https://music.163.com/#/song?id=191248
我们都一样,https://music.163.com/#/song?id=191252
"这,就是爱",https://music.163.com/#/song?id=191060
仰望星空,https://music.163.com/#/song?id=191268
你就不要想起我 (live) - (原唱：田馥甄),https://music.163.com/#/song?id=464674405
夜空中最亮的星 (Live) - (原唱：逃跑计划),https://music.163.com/#/song?id=28427772
剑心 - (电视剧《古剑奇谭》片头主题曲),https://music.163.com/#/song?id=28748199
最美的太阳,https://music.163.com/#/song?id=191278
竹 (Bamboo),https://music.163.com/#/song?id=1308818970
看月亮爬上来,https://music.163.com/#/song?id=191179
听 - (电视剧《美人制造》插曲),https://music.163.com/#/song?id=34179904
勿忘心安 - (电影《窃听风云》主题曲),https://music.163.com/#/song?id=191199
秋天的童话,https://music.163.com/#/song?id=191015
闹啥子嘛闹 - (Hidden Track),https://music.163.com/#/song?id=34179944
量身订做,https://music.163.com/#/song?id=191195
My Sunshine - (电视剧《何以笙箫默》片头曲),https://music.163.com/#/song?id=34179910
着魔 - (网游《恶魔法则》主题曲),https://music.163.com/#/song?id=191134
逆战,https://music.163.com/#/song?id=28996036
高飞,https://music.163.com/#/song?id=191024
一念之间 - (电影《道士下山》主题曲),https://music.163.com/#/song?id=32752249
何必在一起,https://music.163.com/#/song?id=191187
逆态度,https://music.163.com/#/song?id=28009540
默 (Live),https://music.163.com/#/song?id=460514434
Bamboo (Remix),https://music.163.com/#/song?id=1318531024
年轻的战场 - (2006年综艺《加油好男儿》主题曲),https://music.163.com/#/song?id=27789126
往事随风,https://music.163.com/#/song?id=191258
真心英雄,https://music.163.com/#/song?id=32835757
第一夫人,https://music.163.com/#/song?id=190993
浩瀚 - (2014年内地版《神雕侠侣》片头主题曲),https://music.163.com/#/song?id=34179893
爱的供养,https://music.163.com/#/song?id=34179921
快乐出发 - (湖南卫视2009-2010跨年演唱会主题曲),https://music.163.com/#/song?id=5242816
最接近天堂的地方,https://music.163.com/#/song?id=190995
无情的情书,https://music.163.com/#/song?id=28427765
自己 (Live) - (原唱：许均),https://music.163.com/#/song?id=467952050
爱，不解释,https://music.163.com/#/song?id=27853883
穿越人海,https://music.163.com/#/song?id=191183
今生今世,https://music.163.com/#/song?id=191086
我的未来不是梦 (Live) - (原唱：张雨生),https://music.163.com/#/song?id=28427757
FAST,https://music.163.com/#/song?id=526652579
云中的Angel,https://music.163.com/#/song?id=191084
直到世界尽头 - (真人秀《前往世界的尽头》主题曲),https://music.163.com/#/song?id=32192765
这里是神奇的赛尔号 - (动画电影《赛尔号之寻找凤凰神兽》主题曲),https://music.163.com/#/song?id=191037
很奇怪我爱你,https://music.163.com/#/song?id=29122484
老婆 - (电视剧《二炮手》片尾主题曲),https://music.163.com/#/song?id=34179922
搁浅 - (电影《潘多拉的宝剑》主题曲),https://music.163.com/#/song?id=190964
Torches,https://music.163.com/#/song?id=482988169
最悲歌,https://music.163.com/#/song?id=191066
