歌曲名称,歌曲url
孤身,https://music.163.com/#/song?id=1365393542
白羊,https://music.163.com/#/song?id=514761281
我可以,https://music.163.com/#/song?id=1401482684
千禧,https://music.163.com/#/song?id=522510615
青柠,https://music.163.com/#/song?id=504624714
浪漫宇宙的核心,https://music.163.com/#/song?id=1397489326
星子,https://music.163.com/#/song?id=1396205229
去见你,https://music.163.com/#/song?id=1354629987
心事,https://music.163.com/#/song?id=1294899029
给你,https://music.163.com/#/song?id=1397679287
双子,https://music.163.com/#/song?id=557581095
鸽子,https://music.163.com/#/song?id=461899833
不二臣,https://music.163.com/#/song?id=466370500
拥抱,https://music.163.com/#/song?id=546723152
卫星,https://music.163.com/#/song?id=1397680226
心仪,https://music.163.com/#/song?id=445505374
失物招领,https://music.163.com/#/song?id=509932349
胆小鬼,https://music.163.com/#/song?id=1355927292
离家最近的路 - (网易云音乐温暖2019特别企划),https://music.163.com/#/song?id=1342592226
宝贝,https://music.163.com/#/song?id=1336871144
林宥嘉,https://music.163.com/#/song?id=472117541
年年,https://music.163.com/#/song?id=528271077
胆小鬼 (伴奏),https://music.163.com/#/song?id=1355979741
霓虹,https://music.163.com/#/song?id=1306496592
迂回,https://music.163.com/#/song?id=480783619
第三人称 - (电视剧《七月与安生》插曲),https://music.163.com/#/song?id=1378670290
艺术家,https://music.163.com/#/song?id=1323303739
戏精,https://music.163.com/#/song?id=1299570603
陈瑞,https://music.163.com/#/song?id=486252038
What I Could Do,https://music.163.com/#/song?id=429459647
 虹,https://music.163.com/#/song?id=430026506
我可以 (伴奏),https://music.163.com/#/song?id=1401482685
白羊 (伴奏),https://music.163.com/#/song?id=514774263
星子-伴奏,https://music.163.com/#/song?id=1396204675
离家最近的路 (伴奏),https://music.163.com/#/song?id=1342578560
心事,https://music.163.com/#/song?id=1294889030
孤身（伴奏）,https://music.163.com/#/song?id=1365394301
宝贝,https://music.163.com/#/song?id=1336864149
艺术家,https://music.163.com/#/song?id=1323301716
霓虹,https://music.163.com/#/song?id=1306497615
戏精,https://music.163.com/#/song?id=1299550651
千禧 (伴奏),https://music.163.com/#/song?id=522510616
双子 (伴奏),https://music.163.com/#/song?id=557584091
去见你 (伴奏),https://music.163.com/#/song?id=1354629989
拥抱 (伴奏),https://music.163.com/#/song?id=546722182
年年 (伴奏),https://music.163.com/#/song?id=528271078
孤僻症,https://music.163.com/#/song?id=458243905
