歌曲名称,歌曲url
失眠飞行,https://music.163.com/#/song?id=1365898499
烟袋斜街,https://music.163.com/#/song?id=464863017
2019无敌大串烧 (Cover：群星),https://music.163.com/#/song?id=1385126398
锦里,https://music.163.com/#/song?id=441617611
不打扰,https://music.163.com/#/song?id=571338448
单线告别,https://music.163.com/#/song?id=1377145341
Beijing,https://music.163.com/#/song?id=455382413
南锣鼓巷,https://music.163.com/#/song?id=433059656
YOUTH(Kissgun Remix),https://music.163.com/#/song?id=438900437
夜袭漓江塔,https://music.163.com/#/song?id=431791046
田子坊,https://music.163.com/#/song?id=475258052
宝贝,https://music.163.com/#/song?id=1301042215
失眠飞行（伴奏）,https://music.163.com/#/song?id=1370008872
我不害怕,https://music.163.com/#/song?id=509750823
大白兔奶糖,https://music.163.com/#/song?id=435307278
Beautiful cloud,https://music.163.com/#/song?id=432511851
单线告别（Inst.）,https://music.163.com/#/song?id=1378475077
Only with you,https://music.163.com/#/song?id=431791368
秋凹,https://music.163.com/#/song?id=502499421
迷路（Original Mix）,https://music.163.com/#/song?id=435305433
Rush（Kissgun&JiaoYanpears Remix）1,https://music.163.com/#/song?id=430793779
