歌曲名称,歌曲url
平凡之路 - (电影《后会无期》主题曲),https://music.163.com/#/song?id=28815250
生如夏花,https://music.163.com/#/song?id=139357
那些花儿 - (电影《那时花开》片尾曲),https://music.163.com/#/song?id=139377
No Fear In My Heart - (电影《冈仁波齐》主题曲),https://music.163.com/#/song?id=484732973
清白之年,https://music.163.com/#/song?id=475072295
白桦林,https://music.163.com/#/song?id=139385
送别 - (电影《厨子戏子痞子》片尾曲),https://music.163.com/#/song?id=26090155
New Boy,https://music.163.com/#/song?id=139371
且听风吟,https://music.163.com/#/song?id=139359
Baby ，До свидания,https://music.163.com/#/song?id=442869386
Forever young,https://music.163.com/#/song?id=475073278
The fear in my heart,https://music.163.com/#/song?id=475073280
猎户星座,https://music.163.com/#/song?id=518896134
她在睡梦中,https://music.163.com/#/song?id=139361
Never knows tomorrow,https://music.163.com/#/song?id=475072294
在木星 - (电影《刺客聂隐娘》宣传曲),https://music.163.com/#/song?id=33419478
在希望的田野上,https://music.163.com/#/song?id=139375
永隔一江水,https://music.163.com/#/song?id=29732733
好好地,https://music.163.com/#/song?id=35345951
我爱你，再见,https://music.163.com/#/song?id=139342
Track 07,https://music.163.com/#/song?id=518904117
空帆船,https://music.163.com/#/song?id=518894126
来不及,https://music.163.com/#/song?id=139348
旅途,https://music.163.com/#/song?id=139381
傻子才悲伤,https://music.163.com/#/song?id=139339
Colorful Days,https://music.163.com/#/song?id=139351
狗屁青春,https://music.163.com/#/song?id=475073277
冲出你的窗口,https://music.163.com/#/song?id=139366
傲慢的上校 - (电视剧《非常道》片尾曲),https://music.163.com/#/song?id=139345
九月,https://music.163.com/#/song?id=139390
我去2000年 (Live),https://music.163.com/#/song?id=500665343
火车开往冬天,https://music.163.com/#/song?id=139391
别，千万别,https://music.163.com/#/song?id=139383
她在睡梦中remix,https://music.163.com/#/song?id=1359357616
Radio In My Head,https://music.163.com/#/song?id=139334
Forever Young,https://music.163.com/#/song?id=518894128
Hey，我在,https://music.163.com/#/song?id=139328
La Perte (失去),https://music.163.com/#/song?id=139360
Never Knows Tomorrow,https://music.163.com/#/song?id=518895138
活着,https://music.163.com/#/song?id=139387
今夜的滋味,https://music.163.com/#/song?id=139353
召唤,https://music.163.com/#/song?id=139389
妈妈，我...,https://music.163.com/#/song?id=139373
XX青春,https://music.163.com/#/song?id=518904116
世界尽头,https://music.163.com/#/song?id=191328
妈妈，我… (Live),https://music.163.com/#/song?id=500665344
苏珊的舞鞋,https://music.163.com/#/song?id=139355
"别, 千万别",https://music.163.com/#/song?id=28996925
生如夏花+平凡之路,https://music.163.com/#/song?id=526464651
"妈妈, 我...",https://music.163.com/#/song?id=28996920
