歌曲名称,歌曲url
这就是爱情,https://music.163.com/#/song?id=516323185
遗憾,https://music.163.com/#/song?id=25650033
到不了,https://music.163.com/#/song?id=25650032
勿忘,https://music.163.com/#/song?id=1369564749
谈谈,https://music.163.com/#/song?id=1379743753
我是不是你最疼爱的人,https://music.163.com/#/song?id=25657364
我最亲爱的,https://music.163.com/#/song?id=25657367
骨子里的我,https://music.163.com/#/song?id=26584214
你只是没那么爱我,https://music.163.com/#/song?id=1371678719
爱情没有刚刚好,https://music.163.com/#/song?id=28256943
如果没有你,https://music.163.com/#/song?id=25641187
听说爱情回来过,https://music.163.com/#/song?id=25657366
爱过那张脸,https://music.163.com/#/song?id=26584213
原来爱情没有刚刚好,https://music.163.com/#/song?id=28048822
会说话的哑巴,https://music.163.com/#/song?id=26562178
他们,https://music.163.com/#/song?id=26584211
简单的事,https://music.163.com/#/song?id=26562177
谢谢你,https://music.163.com/#/song?id=429348559
你来 我在,https://music.163.com/#/song?id=516320185
傻瓜,https://music.163.com/#/song?id=25657361
患者,https://music.163.com/#/song?id=26584209
两个人的事,https://music.163.com/#/song?id=28048820
即客,https://music.163.com/#/song?id=26584216
不懂+你怎么舍得我难过+洋葱+爱我别走+我的未来不是梦,https://music.163.com/#/song?id=26620215
几年,https://music.163.com/#/song?id=1390453810
取名回忆的时光 - (电影《好声音之为你转身》首波主打曲),https://music.163.com/#/song?id=28029425
伤心童话,https://music.163.com/#/song?id=27906999
想神马有神马,https://music.163.com/#/song?id=28211166
那些歌词里的悲伤,https://music.163.com/#/song?id=429348560
看透,https://music.163.com/#/song?id=429348567
伤,https://music.163.com/#/song?id=26584210
贪图,https://music.163.com/#/song?id=26562176
单车,https://music.163.com/#/song?id=429348563
随遇而安,https://music.163.com/#/song?id=516321184
黯然销魂掌 - (电影《武林外外传》主题曲),https://music.163.com/#/song?id=444269138
爱与愁+过火,https://music.163.com/#/song?id=26620209
越发寂寞,https://music.163.com/#/song?id=26584212
I Believe I Can,https://music.163.com/#/song?id=26584215
千言万语,https://music.163.com/#/song?id=25657368
爱我,https://music.163.com/#/song?id=25657365
故事纯属虚构,https://music.163.com/#/song?id=1390453809
感恩的心,https://music.163.com/#/song?id=25657369
不相信.爱情,https://music.163.com/#/song?id=26584208
哭了,https://music.163.com/#/song?id=25657362
孩子气,https://music.163.com/#/song?id=516318191
想念成殇,https://music.163.com/#/song?id=1390460601
夜行者,https://music.163.com/#/song?id=1383909588
越痛越爱,https://music.163.com/#/song?id=1390453813
忆语流年,https://music.163.com/#/song?id=1390453812
希望爱 - (公益活动《我要上学》主题曲),https://music.163.com/#/song?id=27698464
