歌曲名称,歌曲url
年少有为,https://music.163.com/#/song?id=1293886117
老街,https://music.163.com/#/song?id=133998
戒烟,https://music.163.com/#/song?id=518686034
不将就 - (电影《何以笙箫默》片尾主题曲),https://music.163.com/#/song?id=31654343
耳朵,https://music.163.com/#/song?id=1318235595
喜剧之王,https://music.163.com/#/song?id=29710981
爸爸妈妈,https://music.163.com/#/song?id=407450223
出卖,https://music.163.com/#/song?id=31134193
作曲家,https://music.163.com/#/song?id=29764562
模特,https://music.163.com/#/song?id=27731176
李白,https://music.163.com/#/song?id=27678655
贝贝,https://music.163.com/#/song?id=1318234987
我看着你的时候,https://music.163.com/#/song?id=506092654
王牌冤家 (Live),https://music.163.com/#/song?id=1308818966
不说 - (电影《从你的全世界路过》路过版主题曲),https://music.163.com/#/song?id=428375722
不搭,https://music.163.com/#/song?id=29764563
笑忘书 (Live) - (原唱：王菲),https://music.163.com/#/song?id=31877243
边走边唱,https://music.163.com/#/song?id=31134197
小芳,https://music.163.com/#/song?id=31134170
贫穷或富有,https://music.163.com/#/song?id=1305547844
祝你幸福,https://music.163.com/#/song?id=511920347
念念又不忘,https://music.163.com/#/song?id=862130427
成长之重量 - (电影《动物世界》成长版片尾曲),https://music.163.com/#/song?id=570334069
流行歌曲,https://music.163.com/#/song?id=407459148
有理想,https://music.163.com/#/song?id=407450218
落俗,https://music.163.com/#/song?id=29764561
就这样,https://music.163.com/#/song?id=486323960
歌谣,https://music.163.com/#/song?id=502242110
老伴,https://music.163.com/#/song?id=27731174
都一样,https://music.163.com/#/song?id=27731172
自拍,https://music.163.com/#/song?id=29764564
太坦白,https://music.163.com/#/song?id=27731177
张家明和婉君,https://music.163.com/#/song?id=1309866644
女孩,https://music.163.com/#/song?id=407459147
我知道是你,https://music.163.com/#/song?id=1318234982
哎呀,https://music.163.com/#/song?id=29764565
满座,https://music.163.com/#/song?id=400074326
有一个姑娘,https://music.163.com/#/song?id=27731179
嗯,https://music.163.com/#/song?id=479223381
后羿 - (游戏《王者荣耀》后羿英雄主打歌),https://music.163.com/#/song?id=515143802
裙姊,https://music.163.com/#/song?id=493631465
优点,https://music.163.com/#/song?id=407459145
乐团,https://music.163.com/#/song?id=1318234981
天生,https://music.163.com/#/song?id=29764568
两个人,https://music.163.com/#/song?id=27731175
如果有一天,https://music.163.com/#/song?id=31134194
小黄,https://music.163.com/#/song?id=134000
拜拜,https://music.163.com/#/song?id=27731171
少年,https://music.163.com/#/song?id=519250024
男女,https://music.163.com/#/song?id=29764567
