歌曲名称,歌曲url
其实都没有,https://music.163.com/#/song?id=25788001
国王与乞丐,https://music.163.com/#/song?id=32835565
空白格 (Live) - (原唱：蔡健雅),https://music.163.com/#/song?id=25714352
那个男人,https://music.163.com/#/song?id=175991
这一路走来,https://music.163.com/#/song?id=26075553
越过山丘 - (致李宗盛),https://music.163.com/#/song?id=490602750
忘了我,https://music.163.com/#/song?id=25986220
凉凉 (Live),https://music.163.com/#/song?id=472137697
我变了 我没变,https://music.163.com/#/song?id=32098468
初爱,https://music.163.com/#/song?id=26075548
流浪记 (Live),https://music.163.com/#/song?id=26075648
为你我受冷风吹,https://music.163.com/#/song?id=33705768
为了遇见你 - (电视剧《爱情自有天意》主题曲),https://music.163.com/#/song?id=26349280
最爱,https://music.163.com/#/song?id=26142919
长镜头 (Live),https://music.163.com/#/song?id=31877648
人质,https://music.163.com/#/song?id=350648
天已黑 - (电视剧《欢乐颂2》情感主题曲),https://music.163.com/#/song?id=479028095
背叛,https://music.163.com/#/song?id=350667
爱不得 - (电视剧《谈判官》主题曲),https://music.163.com/#/song?id=534541484
想对你说,https://music.163.com/#/song?id=26075534
新不了情,https://music.163.com/#/song?id=34852087
底细,https://music.163.com/#/song?id=175973
因为单身的缘故,https://music.163.com/#/song?id=175981
生命被你照亮 - (电影《闪光少女》「微光」旗舰概念曲),https://music.163.com/#/song?id=488256374
矜持 (Live) - (原唱：王菲),https://music.163.com/#/song?id=25714086
可惜不是你,https://music.163.com/#/song?id=29375071
怀珠,https://music.163.com/#/song?id=175974
天龙八部 - (手游《天龙八部》同名主题曲),https://music.163.com/#/song?id=479223325
征服 (Live),https://music.163.com/#/song?id=25714280
馋,https://music.163.com/#/song?id=175979
被遗忘的,https://music.163.com/#/song?id=175977
在雨中,https://music.163.com/#/song?id=28202024
我要我们在一起 (Live),https://music.163.com/#/song?id=26188041
我离开我自己 (Live) - (原唱：杨乃文),https://music.163.com/#/song?id=26191002
低回,https://music.163.com/#/song?id=26075547
前戏,https://music.163.com/#/song?id=175983
一定要幸福,https://music.163.com/#/song?id=27928133
我可以抱你吗(live版),https://music.163.com/#/song?id=27928131
领悟,https://music.163.com/#/song?id=27906618
没有什么不能,https://music.163.com/#/song?id=26075549
时间神偷,https://music.163.com/#/song?id=175989
穿山,https://music.163.com/#/song?id=1357006458
真相禁区 - (电影《真相禁区》主题曲),https://music.163.com/#/song?id=37092918
雨天,https://music.163.com/#/song?id=28308697
蛮荒情场,https://music.163.com/#/song?id=175985
山丘(live),https://music.163.com/#/song?id=33361656
无邪,https://music.163.com/#/song?id=26075550
十二楼,https://music.163.com/#/song?id=28285557
歌未央 - (最台湾旅游微电影主题曲),https://music.163.com/#/song?id=27556443
旅行的意义(TV Verison),https://music.163.com/#/song?id=27928130
