歌曲名称,歌曲url
飞云之下,https://music.163.com/#/song?id=554242032
修炼爱情,https://music.163.com/#/song?id=25727803
那些你很冒险的梦,https://music.163.com/#/song?id=108138
可惜没如果 - (If Only…),https://music.163.com/#/song?id=29814898
她说,https://music.163.com/#/song?id=108242
我还想她,https://music.163.com/#/song?id=108493
江南,https://music.163.com/#/song?id=108914
醉赤壁 - (网游《赤壁Online》主题曲),https://music.163.com/#/song?id=108478
背对背拥抱,https://music.163.com/#/song?id=108418
Always Online,https://music.163.com/#/song?id=108485
爱笑的眼睛,https://music.163.com/#/song?id=108245
当你,https://music.163.com/#/song?id=108251
小酒窝,https://music.163.com/#/song?id=108468
生生 - (The Beacon),https://music.163.com/#/song?id=29850685
手心的蔷薇 - (Beautiful),https://music.163.com/#/song?id=29848657
将故事写成我们,https://music.163.com/#/song?id=1391477429
美人鱼,https://music.163.com/#/song?id=108931
曹操,https://music.163.com/#/song?id=108795
记得,https://music.163.com/#/song?id=108269
一千年以后,https://music.163.com/#/song?id=108886
学不会,https://music.163.com/#/song?id=108134
我们很好 - (电影《少年的你》主题曲),https://music.163.com/#/song?id=1369998604
期待爱,https://music.163.com/#/song?id=108503
裂缝中的阳光,https://music.163.com/#/song?id=25794009
不为谁而作的歌 (Live) - (原唱 : 林俊杰),https://music.163.com/#/song?id=409060875
豆浆油条,https://music.163.com/#/song?id=108910
不潮不用花钱,https://music.163.com/#/song?id=108463
被风吹过的夏天 - (电视剧《最佳前男友》插曲),https://music.163.com/#/song?id=247579
杀手,https://music.163.com/#/song?id=108543
心墙,https://music.163.com/#/song?id=108263
编号89757,https://music.163.com/#/song?id=108858
黑暗骑士,https://music.163.com/#/song?id=25794008
一眼万年,https://music.163.com/#/song?id=108254
我很想爱他,https://music.163.com/#/song?id=108265
加油！,https://music.163.com/#/song?id=108406
只对你有感觉,https://music.163.com/#/song?id=108248
关键词,https://music.163.com/#/song?id=40147554
因你而在,https://music.163.com/#/song?id=25729074
爱不会绝迹 - (动画片《恐龙宝贝》主题曲),https://music.163.com/#/song?id=108428
黑武士,https://music.163.com/#/song?id=108473
故事细腻,https://music.163.com/#/song?id=108136
第几个一百天,https://music.163.com/#/song?id=108401
冻结,https://music.163.com/#/song?id=108965
原来,https://music.163.com/#/song?id=108806
超越无限 - (Infinity and Beyond),https://music.163.com/#/song?id=417833348
握不住的他,https://music.163.com/#/song?id=108260
Wonderland,https://music.163.com/#/song?id=1396349011
浪漫血液 - (The Romantic),https://music.163.com/#/song?id=29850683
期待你的爱 - (电视剧《最佳前男友》片头曲),https://music.163.com/#/song?id=34040694
对的时间点,https://music.163.com/#/song?id=1386175484
