歌曲名称,歌曲url
说谎,https://music.163.com/#/song?id=108390
成全,https://music.163.com/#/song?id=562594267
浪费,https://music.163.com/#/song?id=108179
全世界谁倾听你  - (电影《从你的全世界路过》插曲),https://music.163.com/#/song?id=432509483
残酷月光,https://music.163.com/#/song?id=108557
想自由,https://music.163.com/#/song?id=108281
突然想起你(Live),https://music.163.com/#/song?id=108224
我爱的人,https://music.163.com/#/song?id=350651
天真有邪,https://music.163.com/#/song?id=417833029
傻子,https://music.163.com/#/song?id=108194
心酸,https://music.163.com/#/song?id=108393
少女,https://music.163.com/#/song?id=1392925633
神秘嘉宾,https://music.163.com/#/song?id=108539
"背影 - (电视剧《斗牛, 要不要》插曲)",https://music.163.com/#/song?id=5247677
别让我走远 - (电视剧《我们与恶的距离》主题曲),https://music.163.com/#/song?id=1353372483
我梦见你梦见我,https://music.163.com/#/song?id=417250911
你是我的眼,https://music.163.com/#/song?id=350616
致姗姗来迟的你 (Live),https://music.163.com/#/song?id=862098927
我总是一个人在练习一个人,https://music.163.com/#/song?id=108284
感同身受,https://music.163.com/#/song?id=108411
船,https://music.163.com/#/song?id=479408180
自然醒,https://music.163.com/#/song?id=108277
我只在乎你,https://music.163.com/#/song?id=25850223
勿忘你,https://music.163.com/#/song?id=417250913
追寻年少的光 - (电视剧《流淌的美好时光》主题曲),https://music.163.com/#/song?id=1374630898
心有林夕,https://music.163.com/#/song?id=108567
拥有,https://music.163.com/#/song?id=108291
脆弱一分钟 - (电视剧《爱情进化论》片头曲),https://music.163.com/#/song?id=1294910319
诱,https://music.163.com/#/song?id=108182
离开地球表面 (Live),https://music.163.com/#/song?id=26608581
勉强幸福,https://music.163.com/#/song?id=108191
突然好想你(Live),https://music.163.com/#/song?id=34614324
我已经敢想你,https://music.163.com/#/song?id=417250909
兜圈 - (电视剧《必娶女人》片尾曲),https://music.163.com/#/song?id=436016777
思凡,https://music.163.com/#/song?id=108170
一点点,https://music.163.com/#/song?id=417833031
推动摇篮的手,https://music.163.com/#/song?id=862102137
飞,https://music.163.com/#/song?id=417250910
眼色,https://music.163.com/#/song?id=108536
再别康桥,https://music.163.com/#/song?id=108571
美妙生活,https://music.163.com/#/song?id=108273
坏与更坏,https://music.163.com/#/song?id=417250908
早开的晚霞,https://music.163.com/#/song?id=108294
走钢索的人,https://music.163.com/#/song?id=350630
如同悲伤被下载了两次 ,https://music.163.com/#/song?id=34179838
天将明 - (电视剧《秦时明月》片头曲),https://music.163.com/#/song?id=428095030
让世界毁灭,https://music.163.com/#/song?id=417833028
请说,https://music.163.com/#/song?id=108549
宠儿,https://music.163.com/#/song?id=417833033
长大的童话 - (电影《西城童话》主题曲),https://music.163.com/#/song?id=442898703
