歌曲名称,歌曲url
世间美好与你环环相扣,https://music.163.com/#/song?id=1363948882
芳华,https://music.163.com/#/song?id=1374527538
一场泪热,https://music.163.com/#/song?id=1364961867
最是人间无趣,https://music.163.com/#/song?id=1375691055
世间美好与你环环相扣（伴奏）,https://music.163.com/#/song?id=1366063096
月下的誓言,https://music.163.com/#/song?id=1363287361
夺走我爱情的刺客,https://music.163.com/#/song?id=1357652536
狼性,https://music.163.com/#/song?id=1358178054
一场泪热（伴奏）,https://music.163.com/#/song?id=1395935952
芳华（伴奏）,https://music.163.com/#/song?id=1395944340
最是人间无趣（伴奏）,https://music.163.com/#/song?id=1395955045
