歌曲名称,歌曲url
像我这样的人,https://music.163.com/#/song?id=569213220
消愁,https://music.163.com/#/song?id=569200213
不染 - (电视剧《香蜜沉沉烬如霜》主题曲),https://music.163.com/#/song?id=536099160
借,https://music.163.com/#/song?id=569214250
平凡的一天,https://music.163.com/#/song?id=569214247
一荤一素,https://music.163.com/#/song?id=569200212
给你给我,https://music.163.com/#/song?id=569200210
无问 - (电影《无问西东》宣传曲),https://music.163.com/#/song?id=525278524
盛夏,https://music.163.com/#/song?id=569212211
如果有一天我变得很有钱,https://music.163.com/#/song?id=569214252
想你想你,https://music.163.com/#/song?id=569212210
感觉自己是巨星 - (电影《卧底巨星》推广曲),https://music.163.com/#/song?id=524913480
17 - (网剧《极限17》主题曲),https://music.163.com/#/song?id=1383923446
哎哟,https://music.163.com/#/song?id=569200211
南一道街,https://music.163.com/#/song?id=569214249
项羽虞姬 - (手游《王者荣耀》项羽虞姬英雄主打歌),https://music.163.com/#/song?id=518088247
芬芳一生,https://music.163.com/#/song?id=569214251
从无到有 - (电视剧《创业时代》片尾主题曲),https://music.163.com/#/song?id=1313052960
不染 - (电视剧《香蜜沉沉烬如霜》片头曲),https://music.163.com/#/song?id=1332489493
意料之中,https://music.163.com/#/song?id=862098671
一江水 - (电视剧《天坑鹰猎》概念主题曲),https://music.163.com/#/song?id=1306496991
那时的我们,https://music.163.com/#/song?id=1325897605
请记住我 - (电影《寻梦环游记》中文主题曲),https://music.163.com/#/song?id=519250015
在无风时 - (美的空调无风主题曲),https://music.163.com/#/song?id=1332490992
如果有一天我变得很有钱 (必胜客新春版),https://music.163.com/#/song?id=534540578
一江水 - (电视剧《天坑鹰猎》概念主题曲),https://music.163.com/#/song?id=1311345364
Remember Me (Mao Bu Yi Version),https://music.163.com/#/song?id=523946593
Bonus Track：一荤一素 (Demo版),https://music.163.com/#/song?id=569200214
Bonus Track：给你给我 (Demo版),https://music.163.com/#/song?id=569212213
不染 (伴奏),https://music.163.com/#/song?id=536624313
平凡的一天 (Live),https://music.163.com/#/song?id=1323303966
像我这样的人 (伴奏),https://music.163.com/#/song?id=569212215
消愁 (伴奏),https://music.163.com/#/song?id=569213224
一江水 - (超级剧集《天坑鹰猎》概念主题曲),https://music.163.com/#/song?id=1313102150
平凡的一天 (伴奏),https://music.163.com/#/song?id=569213221
无问 (伴奏),https://music.163.com/#/song?id=525278525
如果有一天我变得很有钱 (伴奏),https://music.163.com/#/song?id=569200217
一荤一素 (伴奏),https://music.163.com/#/song?id=569212214
盛夏 (伴奏),https://music.163.com/#/song?id=569200216
借 (伴奏),https://music.163.com/#/song?id=569200215
给你给我 (伴奏),https://music.163.com/#/song?id=569214253
意料之中 (伴奏),https://music.163.com/#/song?id=862099689
17 (伴奏),https://music.163.com/#/song?id=1383927169
哎哟 (伴奏),https://music.163.com/#/song?id=569213222
南一道街 (伴奏),https://music.163.com/#/song?id=569214254
一江水 - (电视剧《天坑鹰猎》概念主题曲),https://music.163.com/#/song?id=1332489594
芬芳一生 (伴奏),https://music.163.com/#/song?id=569213225
想你想你 (伴奏),https://music.163.com/#/song?id=569213223
项羽虞姬 (伴奏),https://music.163.com/#/song?id=518092252
那时的我们 (伴奏) - (QQ炫舞第五届炫舞节合作主题曲),https://music.163.com/#/song?id=1325896585
