歌曲名称,歌曲url
耿 - (电影《最好的我们》毕业季主题曲),https://music.163.com/#/song?id=1368327462
有点甜,https://music.163.com/#/song?id=165340
忽而今夏 - (电视剧《忽而今夏》主题曲),https://music.163.com/#/song?id=553310138
不分手的恋爱,https://music.163.com/#/song?id=165361
风度,https://music.163.com/#/song?id=165347
一笑倾城 - (电视剧《微微一笑很倾城》片头曲),https://music.163.com/#/song?id=426852063
小星星,https://music.163.com/#/song?id=165379
后会无期,https://music.163.com/#/song?id=174944
岁月神偷,https://music.163.com/#/song?id=1313052971
那个男孩 - (电视剧《夏至未至》插曲),https://music.163.com/#/song?id=482386133
万有引力,https://music.163.com/#/song?id=165339
苦笑,https://music.163.com/#/song?id=165364
专属味道,https://music.163.com/#/song?id=165375
巴赫旧约,https://music.163.com/#/song?id=165405
三国杀,https://music.163.com/#/song?id=165367
为你写诗 - (电影《为你写诗》同名曲),https://music.163.com/#/song?id=1320100071
全世界陪我失眠,https://music.163.com/#/song?id=1306507727
年轮 - (电视剧《花千骨》男声版插曲),https://music.163.com/#/song?id=32897777
放不下,https://music.163.com/#/song?id=165373
追光者,https://music.163.com/#/song?id=1297742771
某人,https://music.163.com/#/song?id=165370
无名之辈 - (电影《无名之辈》同名主题曲),https://music.163.com/#/song?id=1319655594
埋葬冬天,https://music.163.com/#/song?id=165380
他的爱,https://music.163.com/#/song?id=165372
小流星 - (超级剧集《同学两亿岁》片尾曲),https://music.163.com/#/song?id=569214141
唯你懂我心,https://music.163.com/#/song?id=165374
得不到的温柔,https://music.163.com/#/song?id=34852171
银河,https://music.163.com/#/song?id=34125026
等不到你,https://music.163.com/#/song?id=165377
桃花扇,https://music.163.com/#/song?id=165345
我也不知道,https://music.163.com/#/song?id=165355
晴,https://music.163.com/#/song?id=28606605
你让我懂,https://music.163.com/#/song?id=165381
睡前故事,https://music.163.com/#/song?id=34532020
Promise To You - (《我不能恋爱的女朋友》电视剧插曲),https://music.163.com/#/song?id=1395985024
岛,https://music.163.com/#/song?id=1308818695
幸福是被你需要,https://music.163.com/#/song?id=165382
因为了解,https://music.163.com/#/song?id=165376
慢慢懂,https://music.163.com/#/song?id=165383
灵主不悔,https://music.163.com/#/song?id=400875065
第十二夜,https://music.163.com/#/song?id=1308782725
十大金曲串烧(现场版),https://music.163.com/#/song?id=36198246
黑眼圈,https://music.163.com/#/song?id=28724346
第一首情歌,https://music.163.com/#/song?id=165342
停止跳动,https://music.163.com/#/song?id=165348
分手季节,https://music.163.com/#/song?id=165346
黑色蝴蝶,https://music.163.com/#/song?id=28724353
旷梦,https://music.163.com/#/song?id=1305365921
我的一切都和你有关系 - (电视剧《趁我们还年轻》人物主题曲),https://music.163.com/#/song?id=1359058820
累不累,https://music.163.com/#/song?id=165358
