歌曲名称,歌曲url
失眠飞行,https://music.163.com/#/song?id=1365898499
绿洲,https://music.163.com/#/song?id=1400047314
白羊,https://music.163.com/#/song?id=514761281
椿,https://music.163.com/#/song?id=479598964
形容,https://music.163.com/#/song?id=1336856864
超喜欢你,https://music.163.com/#/song?id=1380262830
谈恋爱前不如先养猫,https://music.163.com/#/song?id=1396208034
告白 - (原唱：王欣宇),https://music.163.com/#/song?id=1336856449
独居男子,https://music.163.com/#/song?id=1347692190
不打扰,https://music.163.com/#/song?id=571338448
嘿 - (Hey),https://music.163.com/#/song?id=1383742572
推理 - (Inference),https://music.163.com/#/song?id=1390484461
狂恋你（Cover：Every Little Thing）,https://music.163.com/#/song?id=412319591
软,https://music.163.com/#/song?id=1346105274
剃须刀 - (Razor),https://music.163.com/#/song?id=1387623887
鲨鱼 - (Sharky),https://music.163.com/#/song?id=1377372468
里面 - (Inside),https://music.163.com/#/song?id=539820204
预言家,https://music.163.com/#/song?id=440767269
菲菲,https://music.163.com/#/song?id=407032014
Blue Dress,https://music.163.com/#/song?id=561438803
水瓶,https://music.163.com/#/song?id=413831989
道理的道理,https://music.163.com/#/song?id=1318156992
越来越不懂,https://music.163.com/#/song?id=29414160
氤氲,https://music.163.com/#/song?id=407004034
好奇,https://music.163.com/#/song?id=515426297
超喜欢你 (伴奏),https://music.163.com/#/song?id=1380263224
日子全都喂给了猫,https://music.163.com/#/song?id=522260945
里面 - (香料 Remix),https://music.163.com/#/song?id=1354962803
迷津,https://music.163.com/#/song?id=412319592
爱冬野的少年,https://music.163.com/#/song?id=406752375
立方客,https://music.163.com/#/song?id=434022943
讨厌,https://music.163.com/#/song?id=407004033
陷于灰色幻象,https://music.163.com/#/song?id=504042391
双木,https://music.163.com/#/song?id=444356507
绿洲 (伴奏),https://music.163.com/#/song?id=1400047317
仍然,https://music.163.com/#/song?id=425724056
负面文字,https://music.163.com/#/song?id=407004032
突然来的新年,https://music.163.com/#/song?id=456167520
白羊 (伴奏),https://music.163.com/#/song?id=514774263
食草动物,https://music.163.com/#/song?id=421137079
水瓶,https://music.163.com/#/song?id=33525634
Intro:乌云,https://music.163.com/#/song?id=407004031
形容（Instrumental）,https://music.163.com/#/song?id=1336866790
氤氲,https://music.163.com/#/song?id=33525635
谈恋爱前不如先养猫（伴奏）,https://music.163.com/#/song?id=1396205004
椿（Piano Version.）,https://music.163.com/#/song?id=534565790
狂恋你(Violin Version.),https://music.163.com/#/song?id=471268393
推理（Instrumental）,https://music.163.com/#/song?id=1390484463
剃须刀（Instrumental）,https://music.163.com/#/song?id=1387623889
里面（香料 Remix Instrumental）,https://music.163.com/#/song?id=1354971005
