歌曲名称,歌曲url
筷子兄弟-老男孩（弹鼓版）（浪子康 / 安筱冷 / 黄家旺 remix）,https://music.163.com/#/song?id=1341072632
丁当-猜不透（弹鼓版）（浪子康 / 豪大大 remix）,https://music.163.com/#/song?id=1359156131
Beyond -海阔天空 （DJ版）（浪子康 Remix）,https://music.163.com/#/song?id=1313726466
后来(咚鼓版),https://music.163.com/#/song?id=1306908061
爱一点（咚鼓版）,https://music.163.com/#/song?id=1313725541
华晨宇-烟火里的尘埃（咚鼓版）（浪子康 remix）,https://music.163.com/#/song?id=1336526373
小咪-即兴（咚鼓版）（浪子康 / 黄家旺 / 安筱冷 remix）,https://music.163.com/#/song?id=1346764685
贺敬轩-但愿余生都是你（咚鼓版）（浪子康 / 豪大大 remix）,https://music.163.com/#/song?id=1365401062
小星星（咚鼓版）（Cover：汪苏泷）,https://music.163.com/#/song?id=1314510530
EA7干净利落,https://music.163.com/#/song?id=1370933087
DAISHI DANCE-take me hand（咚鼓版）（浪子康 Remix）,https://music.163.com/#/song?id=1363489396
王天戈-心安理得（咚鼓版）（浪子康 / 安筱冷 remix）,https://music.163.com/#/song?id=1335107272
可泽-樱花树下的约定（咚鼓版）（浪子康 remix）,https://music.163.com/#/song?id=1340135868
张小九-余香（浪子康 / 承利 remix）,https://music.163.com/#/song?id=1357662654
曲婉婷-没有什么不同（浪子康 remix）,https://music.163.com/#/song?id=1317340183
错的人（咚鼓版）（Cover：萧亚轩）,https://music.163.com/#/song?id=1320666836
许佳慧-预谋（弹鼓版）（浪子康 / 安筱冷 remix）,https://music.163.com/#/song?id=1343933213
星月神话（咚鼓）（Cover：金莎）,https://music.163.com/#/song?id=1320570892
死性不改（咚鼓版）,https://music.163.com/#/song?id=1336519779
莫文蔚-盛夏的果实（咚鼓版）（浪子康 Remix）,https://music.163.com/#/song?id=1339736974
房东的猫-云烟成雨（咚鼓版）（浪子康 remix）,https://music.163.com/#/song?id=1321661860
Xun（易硕成）-可惜我不是她（咚鼓版）（浪子康 / 杨洪才 remix）,https://music.163.com/#/song?id=1323508060
陈柏宇-你瞒我瞒（咚鼓版）（浪子康 remix）,https://music.163.com/#/song?id=1333381866
这个年纪（咚鼓）（Cover：齐一）,https://music.163.com/#/song?id=1316884028
音阙诗听-芒种（DJ版）（Deep house）（王英涛&君老头 / 精彩苏刚 / 浪子康 remix）,https://music.163.com/#/song?id=1386669632
慢摇浪曲（DJ）,https://music.163.com/#/song?id=1320776554
爱的供养（咚鼓）,https://music.163.com/#/song?id=1319261208
我想我不够好（咚鼓版）,https://music.163.com/#/song?id=1337647278
EA7做人要低调 (DJ版),https://music.163.com/#/song?id=1355933819
也许夜最适合哭（咚鼓版）（Cover：小琨）,https://music.163.com/#/song?id=1313125710
李学仕-直觉（浪子康 / 承利 remix）,https://music.163.com/#/song?id=1357663594
群星-像我这样的人（咚鼓版）（浪子康/豪胖胖/安筱冷 Remix）,https://music.163.com/#/song?id=1336181973
群星-为你我受冷风吹（DJ版）（浪子康/豪胖胖/安筱冷 Remix）,https://music.163.com/#/song?id=1336187650
只赌天意不猜人心 (DJ版),https://music.163.com/#/song?id=1349973367
孙燕姿-遇见（咚鼓版）（浪子康 / 豪大大 remix）,https://music.163.com/#/song?id=1359156114
杨宗纬 -一次就好（咚鼓版）（浪子康 Remix）,https://music.163.com/#/song?id=1313426060
白小白-最美情侣 (咚鼓版）（浪子康 remix）,https://music.163.com/#/song?id=1319889589
我敬往事一杯酒 (DJ版),https://music.163.com/#/song?id=1358275760
王杰-不浪漫罪名（弹鼓版）（浪子康 / 豪大大 / 黄家旺 remix）,https://music.163.com/#/song?id=1357278354
金贵晟-浪子康-虹之间（咚鼓版）（浪子康 remix）,https://music.163.com/#/song?id=1317336557
还有梦想（DJ版）（Cover：小洲）,https://music.163.com/#/song?id=1313124655
请你保持你的野性 (DJ版),https://music.163.com/#/song?id=1349973366
云烟变成雨 (DJ版）,https://music.163.com/#/song?id=1370041233
许慧欣-七月七日晴（咚鼓版）（浪子康 / 黄家旺 / 支柱 / 豪大大 remix）,https://music.163.com/#/song?id=1339299138
怎么变成我一个人去巴黎了,https://music.163.com/#/song?id=1317790694
98K吃鸡摇 (DJ版),https://music.163.com/#/song?id=1349274442
人生苦短及时行乐 (DJ版),https://music.163.com/#/song?id=1352590830
王力宏-好心分手（DJ）（浪子康 / 杨洪才 remix）,https://music.163.com/#/song?id=1323508056
气质锐-我的美丽新娘（咚鼓版）（浪子康 / 豪大大 remix）,https://music.163.com/#/song?id=1359156134
群星-秋殇别恋（咚鼓版）（浪子康/豪胖胖/安筱冷 Remix）,https://music.163.com/#/song?id=1336191084
