歌曲名称,歌曲url
攀登 (Live),https://music.163.com/#/song?id=1313107926
爱你3000 (Live),https://music.163.com/#/song?id=1383211741
不得不爱,https://music.163.com/#/song?id=139764
快乐崇拜,https://music.163.com/#/song?id=139808
爱你 3000 (feat. 黄旭 & 肖恩恩),https://music.163.com/#/song?id=1389394944
爱上未来的你,https://music.163.com/#/song?id=139854
My Way (Live),https://music.163.com/#/song?id=1371760071
忘记拥抱,https://music.163.com/#/song?id=10308019
手牵手 - (2003年抗非典公益歌曲),https://music.163.com/#/song?id=5268423
重返十七岁(新版) - (综艺《我去上学啦》第二季主题曲),https://music.163.com/#/song?id=418603445
Moonlight,https://music.163.com/#/song?id=1298986140
Tell Me,https://music.163.com/#/song?id=139893
制作人cypher (Live),https://music.163.com/#/song?id=1293951024
死了都要爱 (Live),https://music.163.com/#/song?id=1297743782
Baby Tonight,https://music.163.com/#/song?id=139464
蜕变 (Live),https://music.163.com/#/song?id=1306507052
Coming Home,https://music.163.com/#/song?id=489997584
U U U,https://music.163.com/#/song?id=25638923
壁虎漫步,https://music.163.com/#/song?id=139889
双人舞,https://music.163.com/#/song?id=5247625
我的麦克风,https://music.163.com/#/song?id=139848
我对天空说,https://music.163.com/#/song?id=4874572
高手,https://music.163.com/#/song?id=139768
潘玮柏-我想更懂你（Kk_Remix）（Ricky Krystal/潘玮柏 Remix）,https://music.163.com/#/song?id=548107537
HOW ARE YOU,https://music.163.com/#/song?id=139862
稀罕没理由,https://music.163.com/#/song?id=497131712
打呼 - (Snore),https://music.163.com/#/song?id=28638579
谁是MVP (Live),https://music.163.com/#/song?id=1378898229
英雄之火+不灭火 (Live),https://music.163.com/#/song?id=1313052973
小小蚂蚁,https://music.163.com/#/song?id=392058
WU HA,https://music.163.com/#/song?id=139806
我不怕,https://music.163.com/#/song?id=139903
谁是Mvp,https://music.163.com/#/song?id=139760
哑巴,https://music.163.com/#/song?id=497131707
明天过后,https://music.163.com/#/song?id=28665565
漫动作,https://music.163.com/#/song?id=448722028
24个比利,https://music.163.com/#/song?id=139458
决战斗室,https://music.163.com/#/song?id=139785
站在你这边,https://music.163.com/#/song?id=139910
我们都会错,https://music.163.com/#/song?id=139857
禅舞不二,https://music.163.com/#/song?id=139772
小丑,https://music.163.com/#/song?id=28638580
根本没爱过,https://music.163.com/#/song?id=497131708
UUU (Live),https://music.163.com/#/song?id=1388612042
跟我走吧,https://music.163.com/#/song?id=139789
一个人,https://music.163.com/#/song?id=28665560
谢谢,https://music.163.com/#/song?id=5253706
背水一战 - (线上篮球游戏《FREE STYLE》游戏主题曲),https://music.163.com/#/song?id=139740
咖哩辣椒,https://music.163.com/#/song?id=139851
Kiss Me 123,https://music.163.com/#/song?id=139896
