歌曲名称,歌曲url
我的名字,https://music.163.com/#/song?id=554241732
你曾是少年,https://music.163.com/#/song?id=1368371706
今天也想见到你,https://music.163.com/#/song?id=1353194608
风吹着我向你跑来 - (电视剧《强风吹拂》插曲),https://music.163.com/#/song?id=1369998432
赧(nǎn)然的贼,https://music.163.com/#/song?id=507014930
离家最近的路 - (网易云音乐温暖2019特别企划),https://music.163.com/#/song?id=1342592226
大人,https://music.163.com/#/song?id=569870903
混蛋！,https://music.163.com/#/song?id=426833066
哗啦啦少年再见,https://music.163.com/#/song?id=1323301155
我欢喜喜欢你,https://music.163.com/#/song?id=1360807180
等你的日子不值一提 - (电视剧《带着爸爸去留学》插曲),https://music.163.com/#/song?id=1365209412
怎么我睡不着你也不来救我,https://music.163.com/#/song?id=1360807178
坚强的理由 - (电视剧《加油，你是最棒的》插曲),https://music.163.com/#/song?id=1381380904
山月 - (电视剧《山月不知心底事》同名主题曲),https://music.163.com/#/song?id=1385560525
立日心,https://music.163.com/#/song?id=423104763
等你的日子不值一提,https://music.163.com/#/song?id=1360807332
闪耀的日子 - (电视剧《我在未来等你》友情主题曲),https://music.163.com/#/song?id=1387564798
你的晚安是想让我闭嘴吧,https://music.163.com/#/song?id=423015082
我真的毫无酒量可言,https://music.163.com/#/song?id=423015086
这个人很懒，什么都没有留下,https://music.163.com/#/song?id=1360802598
超大只怪兽,https://music.163.com/#/song?id=1370939675
谢谢侬 - (原唱：陈奕迅),https://music.163.com/#/song?id=500410106
黑色的海,https://music.163.com/#/song?id=432430693
松鼠,https://music.163.com/#/song?id=1360807177
少年行 - (电视剧《天坑鹰猎》无畏版推广曲),https://music.163.com/#/song?id=1306496744
致姗姗来迟的你,https://music.163.com/#/song?id=490595250
地球上最后的夜晚,https://music.163.com/#/song?id=1360807181
你曾是少年 (伴奏),https://music.163.com/#/song?id=1368371710
只记今朝笑,https://music.163.com/#/song?id=1336131098
十万毫升泪水,https://music.163.com/#/song?id=497745640
夏天的风,https://music.163.com/#/song?id=487379704
新年快乐,https://music.163.com/#/song?id=524148556
活着,https://music.163.com/#/song?id=493663235
克卜勒 - (原唱：孙燕姿),https://music.163.com/#/song?id=488647708
LOVE! - (原唱：田馥甄),https://music.163.com/#/song?id=501221003
咸鱼remix倔强 - (原唱：五月天),https://music.163.com/#/song?id=492144343
我想 - (原唱：余佳运),https://music.163.com/#/song?id=503206703
听不到,https://music.163.com/#/song?id=487379713
少年行 - (超级剧集《天坑鹰猎》无畏版推广曲),https://music.163.com/#/song?id=1313102148
骄傲的少年 - (原唱：南征北战),https://music.163.com/#/song?id=503206711
离家最近的路 (伴奏),https://music.163.com/#/song?id=1342578560
相爱后动物感伤,https://music.163.com/#/song?id=493663216
我可是你手中那一朵鲜花,https://music.163.com/#/song?id=495220638
烂泥,https://music.163.com/#/song?id=497755646
黄小花 - (原唱：黄雅莉),https://music.163.com/#/song?id=501221004
哗啦啦少年再见 (Live),https://music.163.com/#/song?id=1323301424
少年行 - (电视剧《天坑鹰猎》插曲),https://music.163.com/#/song?id=1332489593
立日心伴奏,https://music.163.com/#/song?id=423104764
超大只怪兽 (伴奏),https://music.163.com/#/song?id=1370940675
山月 (伴奏),https://music.163.com/#/song?id=1385563077
