歌曲名称,歌曲url
目不转睛,https://music.163.com/#/song?id=546279760
阿司匹林,https://music.163.com/#/song?id=1396141677
人间天堂,https://music.163.com/#/song?id=1396005548
山羊,https://music.163.com/#/song?id=1396005540
目不转睛 (Live),https://music.163.com/#/song?id=1304920094
童言无忌 (Live),https://music.163.com/#/song?id=1306498831
面对面的婚礼和并排的墓碑,https://music.163.com/#/song?id=1396146254
还没想好,https://music.163.com/#/song?id=1396141662
有一颗星为我存在,https://music.163.com/#/song?id=1334731383
挂羊头卖狗肉,https://music.163.com/#/song?id=1396006331
四面楚歌,https://music.163.com/#/song?id=1387629757
艳阳天,https://music.163.com/#/song?id=1396146253
戒骄戒躁,https://music.163.com/#/song?id=1396005547
悬崖华尔兹 (Live),https://music.163.com/#/song?id=1296583189
Shout It Out,https://music.163.com/#/song?id=1334596367
LA In The Snow,https://music.163.com/#/song?id=1396146252
Real Me,https://music.163.com/#/song?id=1396146256
On The Road,https://music.163.com/#/song?id=1396141673
时间是金 (Live),https://music.163.com/#/song?id=1306498829
月儿圆,https://music.163.com/#/song?id=1373387741
三思而后行 ,https://music.163.com/#/song?id=1313052961
二十一世纪病理反应,https://music.163.com/#/song?id=1396006329
追梦 (Live),https://music.163.com/#/song?id=1300594121
Feel Alive,https://music.163.com/#/song?id=1396141678
目不转睛 (Live),https://music.163.com/#/song?id=1313107589
梦魇 (live),https://music.163.com/#/song?id=1311347344
Champ(Live),https://music.163.com/#/song?id=1302091338
Paint Me in God,https://music.163.com/#/song?id=1362129598
打个总结 (fly and ride),https://music.163.com/#/song?id=449239631
Better Than Me？Feat. 辛巴 & Pact,https://music.163.com/#/song?id=546282750
童言无忌（不插电）,https://music.163.com/#/song?id=449239668
Crowded Zone,https://music.163.com/#/song?id=1395822309
PUMA,https://music.163.com/#/song?id=1308778163
Sold Out,https://music.163.com/#/song?id=1364400401
Mask Off Remix (freestyle),https://music.163.com/#/song?id=474909514
Liquor Whisper,https://music.163.com/#/song?id=546281919
打个总结 (Live),https://music.163.com/#/song?id=1294899232
时间是金/ Time Is A Fool,https://music.163.com/#/song?id=449235912
戒骄戒躁 (KAII & 王晓夫 Remix),https://music.163.com/#/song?id=1400286472
吴亦凡战队Cypher (Live),https://music.163.com/#/song?id=1305111058
I Feel Great Feat. 黄旭,https://music.163.com/#/song?id=546281866
高兴就好,https://music.163.com/#/song?id=1349225901
梦魇 Feat 梦徐MX Prod. By CANIS MAJOR,https://music.163.com/#/song?id=546282611
C.D.C (Panorama City Remix),https://music.163.com/#/song?id=546277965
Dream Girl,https://music.163.com/#/song?id=1311401375
- Skrr（王以太 remix）,https://music.163.com/#/song?id=449004958
结不完,https://music.163.com/#/song?id=536295979
Come and Stay with me,https://music.163.com/#/song?id=449235296
老子就爱呆到成都,https://music.163.com/#/song?id=423227239
Lords没在怕 - (游戏《王国纪元》宣传曲),https://music.163.com/#/song?id=1378463086
