歌曲名称,歌曲url
I Love You 3000 II,https://music.163.com/#/song?id=1396162013
Tequila Sunrise (feat. AUGUST 08 & GoldLink),https://music.163.com/#/song?id=1396163566
BULLET TO THE HEART,https://music.163.com/#/song?id=1391639224
Papillon - (巴比龙),https://music.163.com/#/song?id=501467216
Dawn of us,https://music.163.com/#/song?id=553813030
Walking (feat. Swae Lee & Major Lazer),https://music.163.com/#/song?id=1396162005
Red,https://music.163.com/#/song?id=1339422595
OKAY,https://music.163.com/#/song?id=521416228
爱 (I Love You 3000 Chinese Version),https://music.163.com/#/song?id=1393138460
热爱就一起,https://music.163.com/#/song?id=1357425553
DWAY!,https://music.163.com/#/song?id=1391666781
爱 (I Love You 3000 Chinese Version) 试听版,https://music.163.com/#/song?id=1398927903
TITANIC (feat. Rich Brian),https://music.163.com/#/song?id=1391665603
Oxygen,https://music.163.com/#/song?id=1357831544
Fendiman,https://music.163.com/#/song?id=566435267
ON THE ROCKS,https://music.163.com/#/song?id=1391665592
UNLESS I’M WITH YOU,https://music.163.com/#/song?id=1391665598
X,https://music.163.com/#/song?id=557583826
BAD BACK (feat. GoldLink),https://music.163.com/#/song?id=1391666791
Can't Breathe,https://music.163.com/#/song?id=556207187
FADED,https://music.163.com/#/song?id=1391666792
I Love It,https://music.163.com/#/song?id=1329719925
MK Circus,https://music.163.com/#/song?id=1345651478
Bruce Lee 李小龙,https://music.163.com/#/song?id=864639840
Made It,https://music.163.com/#/song?id=1309814826
Papillon(BOYTOY remix) [巴比龙 (BOYTOY 混音版)] - (电影《素人特工》片尾曲),https://music.163.com/#/song?id=1375925621
멈춰버린 시간 - (停止的时间),https://music.163.com/#/song?id=28254799
Lucky Rain,https://music.163.com/#/song?id=553595927
MOOD,https://music.163.com/#/song?id=525240440
BIMMER RIDE,https://music.163.com/#/song?id=1345904106
Rumble,https://music.163.com/#/song?id=1371428499
Generation 2,https://music.163.com/#/song?id=487590936
Another (Feat. 王嘉尔),https://music.163.com/#/song?id=1372370576
九州天空城 - (手游《九州天空城3D》主题曲),https://music.163.com/#/song?id=502455412
Phoenix,https://music.163.com/#/song?id=1329719931
Hunger,https://music.163.com/#/song?id=1329719930
WOLO,https://music.163.com/#/song?id=1329719926
Bruce Lee (Prod. Fader One),https://music.163.com/#/song?id=1366748981
Hello,https://music.163.com/#/song?id=1331968665
보름달 (Live) - (满月),https://music.163.com/#/song?id=407889805
Hypey,https://music.163.com/#/song?id=1351225675
Papillon,https://music.163.com/#/song?id=556203207
Made It,https://music.163.com/#/song?id=1329719939
이럴거면 그러지말지 (Live),https://music.163.com/#/song?id=416531573
Rumble,https://music.163.com/#/song?id=1371467066
Different Game,https://music.163.com/#/song?id=1323273922
安静 (Live),https://music.163.com/#/song?id=1338146932
该死的温柔 (Live),https://music.163.com/#/song?id=1320649101
Papillon (Live),https://music.163.com/#/song?id=502925952
Creo En Mi,https://music.163.com/#/song?id=1302132290
