歌曲名称,歌曲url
最近 (正式版),https://music.163.com/#/song?id=1357825630
不是因为寂寞才想你（Cover：雷婷）,https://music.163.com/#/song?id=1392177987
你是我的玫瑰花 (cover：庞龙),https://music.163.com/#/song?id=1394182791
最近-王小帅（Cover：李圣杰）,https://music.163.com/#/song?id=1350202699
最近 (Live),https://music.163.com/#/song?id=1350364033
好心分手（完整版）（Cover：卢巧音）,https://music.163.com/#/song?id=1385642413
挥着翅膀的女孩（Cover：群星）,https://music.163.com/#/song?id=1394985470
犯错（Cover：祁隆）,https://music.163.com/#/song?id=1394986596
《最近》抖音厕所版本（Cover：李圣杰）,https://music.163.com/#/song?id=1350379390
好心分手（厕所版）（Cover：卢巧音）,https://music.163.com/#/song?id=1379654626
盛夏的果实（Cover：莫文蔚）,https://music.163.com/#/song?id=1358213641
好心分手（30秒版）（Cover：卢巧音）,https://music.163.com/#/song?id=1379656441
一个人走,https://music.163.com/#/song?id=1375712051
亲爱的你在哪里,https://music.163.com/#/song?id=1370007762
玫瑰（Cover：贰佰）,https://music.163.com/#/song?id=1356570287
其实我并不快乐,https://music.163.com/#/song?id=1396920300
囚鸟 (Cover：张宇),https://music.163.com/#/song?id=1399996150
你好 再见,https://music.163.com/#/song?id=1370007761
胡广生（Cover：任素汐）,https://music.163.com/#/song?id=1358208389
那些失眠的人(Demo),https://music.163.com/#/song?id=1378989230
有你的地方是天堂（Cover：王羚柔）,https://music.163.com/#/song?id=1354113213
你好 再见(副歌demo）,https://music.163.com/#/song?id=1303113048
游子泪花,https://music.163.com/#/song?id=1400258831
有情人难成眷属(Demo),https://music.163.com/#/song?id=1369271780
一个人走 (伴奏),https://music.163.com/#/song?id=1375708823
其实我并不快乐 (伴奏),https://music.163.com/#/song?id=1396920301
游子泪花 (伴奏),https://music.163.com/#/song?id=1400258832
你是我的玫瑰花（Cover：庞龙）,https://music.163.com/#/song?id=1393575180
不是因为寂寞才想你（Cover：雷婷）,https://music.163.com/#/song?id=1391060513
囚鸟（Cover：张宇）,https://music.163.com/#/song?id=1364779604
你的眼神（Cover：蔡琴）,https://music.163.com/#/song?id=1351090217
当我唱起这首歌（Cover：群星）,https://music.163.com/#/song?id=1358803219
