歌曲名称,歌曲url
太阳,https://music.163.com/#/song?id=1385856956
拾忆,https://music.163.com/#/song?id=1396073496
画,https://music.163.com/#/song?id=1379416556
拜拜（Cover：浙音4811（一个大金意））,https://music.163.com/#/song?id=1382385235
化身孤岛的鲸（Cover：群星）,https://music.163.com/#/song?id=1369383684
画（伴奏）,https://music.163.com/#/song?id=1389093791
太阳（伴奏）,https://music.163.com/#/song?id=1394724965
拾忆（伴奏）,https://music.163.com/#/song?id=1398140753
来自天堂的魔鬼（Cover：G.E.M.邓紫棋）,https://music.163.com/#/song?id=1368753492
再见（Cover：G.E.M.邓紫棋）,https://music.163.com/#/song?id=1368546684
辞·九门回忆（Cover：冰幽 ，解忧草）,https://music.163.com/#/song?id=1377365188
