歌曲名称,歌曲url
你走以后1.0,https://music.163.com/#/song?id=1363205817
你走以后,https://music.163.com/#/song?id=522943592
你走以后2.0,https://music.163.com/#/song?id=1362486425
飞（last flight remix）,https://music.163.com/#/song?id=1386259535
雨,https://music.163.com/#/song?id=1390255291
起风了remix,https://music.163.com/#/song?id=866062997
你走以后1.0 (hook beat),https://music.163.com/#/song?id=1372829188
别丧了:),https://music.163.com/#/song?id=1346818436
她是個極有魅力的怪物,https://music.163.com/#/song?id=1364243777
她,https://music.163.com/#/song?id=1374881927
靠近,https://music.163.com/#/song?id=1360103709
4.18,https://music.163.com/#/song?id=1358505666
不如不见面remix,https://music.163.com/#/song?id=1319441705
☾,https://music.163.com/#/song?id=1400520901
R0725,https://music.163.com/#/song?id=1376696536
这首歌写自己,https://music.163.com/#/song?id=1346819047
引prod by 雍和,https://music.163.com/#/song?id=1346743598
☼(Prod by PENG),https://music.163.com/#/song?id=1353476519
Loney xx（Prod by 雍和）,https://music.163.com/#/song?id=1319481962
幻想,https://music.163.com/#/song?id=1346818447
