歌曲名称,歌曲url
夜半（完整版）（Cover：谢宇伦）,https://music.163.com/#/song?id=1370007645
心安理得 (完整版)(cover：王天戈）,https://music.163.com/#/song?id=1364197430
原来(抖音版）（Cover：林东）,https://music.163.com/#/song?id=1336299984
拾忆（Cover：张翰）,https://music.163.com/#/song?id=865361943
晚安（片段）（Cover：颜人中）,https://music.163.com/#/song?id=1363972365
没有人心疼我（Cover：方宇杰）,https://music.163.com/#/song?id=1377896834
晚安（完整版）（Cover：颜人中）,https://music.163.com/#/song?id=1374660757
心安理得（片段版）（cover:王天戈）,https://music.163.com/#/song?id=1360604856
孤身（Cover：徐秉龙）,https://music.163.com/#/song?id=1368400077
心安理得（DJ）（Cover：王天戈）,https://music.163.com/#/song?id=1358188525
说谎（抖音版）（Cover：林宥嘉）,https://music.163.com/#/song?id=1332647902
错的人(片段版)（Cover：萧亚轩）,https://music.163.com/#/song?id=1365032837
有幸（Cover：赵砚卿）,https://music.163.com/#/song?id=1391491741
算了（Cover：崔阿扎）,https://music.163.com/#/song?id=1358964504
离岸（Cover：苏晗）,https://music.163.com/#/song?id=1379241817
夜半（片段）（Cover：谢宇伦）,https://music.163.com/#/song?id=1365666545
嗜好（Cover：颜人中）,https://music.163.com/#/song?id=1392729979
闹够了没有（抖音版）（Cover：赖伟锋）,https://music.163.com/#/song?id=1341635128
我知道（Cover：By2）,https://music.163.com/#/song?id=1353206882
一个人想着一个人（Cover：群星）,https://music.163.com/#/song?id=1395174285
分手仍怀恋,https://music.163.com/#/song?id=424264595
有一种悲伤（Cover：A-Lin）,https://music.163.com/#/song?id=1356124253
最后一页（Cover：群星）,https://music.163.com/#/song?id=1388800785
爱过你这件事（Cover：西柚）,https://music.163.com/#/song?id=1400068909
靠近,https://music.163.com/#/song?id=513357876
这一生关于你的风景（Cover：枯木逢春）,https://music.163.com/#/song?id=1387494611
孤单心事（Cover：颜人中）,https://music.163.com/#/song?id=1378491638
爱在日出前（Cover：吴昊）,https://music.163.com/#/song?id=1402685649
下坠（Cover：Corki）,https://music.163.com/#/song?id=1353404781
该不该（Cover：莫智钦）,https://music.163.com/#/song?id=1388120187
戒烟（Cover：李荣浩）,https://music.163.com/#/song?id=1301400494
我多喜欢你，你会知道（Cover 王俊琪）,https://music.163.com/#/song?id=531686658
最后没有你（片段）（Cover：周星辰）,https://music.163.com/#/song?id=1369609326
你点亮的黑（Cover：董嘉鸿）,https://music.163.com/#/song?id=1402685641
不舍（Cover：杨梓霖）,https://music.163.com/#/song?id=1325873607
隔离区（片段） （Cover：梁铭琛）,https://music.163.com/#/song?id=1375247118
分手的距离（Cover：群星）,https://music.163.com/#/song?id=1383552876
放过自己（Cover：群星）,https://music.163.com/#/song?id=1383229896
两面人（Cover：李浩纶）,https://music.163.com/#/song?id=1373843514
最爱的那个人（Cover：炼金娘）,https://music.163.com/#/song?id=1380902100
怎么办心好痛,https://music.163.com/#/song?id=437292583
靠近 (伴奏),https://music.163.com/#/song?id=513360896
不顾（Cover：王泽科）,https://music.163.com/#/song?id=1398695238
后继者（片段）（Cover：任然）,https://music.163.com/#/song?id=1380302119
错过（Cover：王泽科）,https://music.163.com/#/song?id=1354664604
当真（抖音版）（Cover：曲肖冰）,https://music.163.com/#/song?id=1335712683
你的酒馆对我打了烊 [男声完整版](cover：陈雪凝),https://music.163.com/#/song?id=1362193375
你的酒馆对我打了烊（片段）（Cover：陈雪凝）,https://music.163.com/#/song?id=1359498112
同归于尽（Cover：星弟）,https://music.163.com/#/song?id=1367224320
最好的朋友（Cover：赖伟锋）,https://music.163.com/#/song?id=1373426927
