歌曲名称,歌曲url
庆功酒(Jungle Juice),https://music.163.com/#/song?id=562118482
飞行随笔(Airplane Freestyle),https://music.163.com/#/song?id=1320100120
7.棕旨,https://music.163.com/#/song?id=1321929928
Follow Me (Live),https://music.163.com/#/song?id=1377519495
Woken Day,https://music.163.com/#/song?id=1387629743
惨绿少年,https://music.163.com/#/song?id=1395577272
上天入地,https://music.163.com/#/song?id=1326219439
活死人2018Cypher,https://music.163.com/#/song?id=1303079913
侠 (Live),https://music.163.com/#/song?id=1384569209
我和我的祖国,https://music.163.com/#/song?id=1399712957
爱(LOVE.),https://music.163.com/#/song?id=865048685
明争暗斗,https://music.163.com/#/song?id=1349279287
酒过三巡(Cheers),https://music.163.com/#/song?id=1377556924
小城市的大人物 (Live),https://music.163.com/#/song?id=1383211743
We Are Young (Live),https://music.163.com/#/song?id=1387615548
异乡人 remix,https://music.163.com/#/song?id=1335257558
江山美人,https://music.163.com/#/song?id=1383937363
春暖花开（活死人版凛冬将至）,https://music.163.com/#/song?id=1326212787
逍遥游,https://music.163.com/#/song?id=1359507281
啸江湖(Prod.by WarRonZ),https://music.163.com/#/song?id=516421734
万里挑一(Yin-Yang),https://music.163.com/#/song?id=1320097108
撒娇(Prod.by 10K),https://music.163.com/#/song?id=537627444
夕阳西下,https://music.163.com/#/song?id=1315616232
世界末日Remix,https://music.163.com/#/song?id=485967984
谢谢你(Thank U),https://music.163.com/#/song?id=1320100122
兄弟们上！ (Live),https://music.163.com/#/song?id=1380312729
TIME (Live),https://music.163.com/#/song?id=1387615527
决定(My Decision),https://music.163.com/#/song?id=864647890
丝绸,https://music.163.com/#/song?id=1338938846
Rapstar,https://music.163.com/#/song?id=1399397761
文武双全,https://music.163.com/#/song?id=1378642564
戴斯特你(Destiny),https://music.163.com/#/song?id=1351940189
HorseKing Cypher 2019,https://music.163.com/#/song?id=1393447118
战斗,https://music.163.com/#/song?id=556135526
浮生如梦,https://music.163.com/#/song?id=489481330
第一轮 现实VS梦想,https://music.163.com/#/song?id=1381764098
王炸,https://music.163.com/#/song?id=1387337471
异乡人Remix,https://music.163.com/#/song?id=1382385609
Respect & Haters(Prod.by WarRonZ),https://music.163.com/#/song?id=510535382
谢你不屑,https://music.163.com/#/song?id=1383050992
I’m not a killer,https://music.163.com/#/song?id=1334296108
淌过山间的人(Prod.by 10K),https://music.163.com/#/song?id=523176692
鼎(Culture),https://music.163.com/#/song?id=562119528
战斗Pt.2(Why We Fight),https://music.163.com/#/song?id=562124296
将军府(2019Cypher Of YNC.),https://music.163.com/#/song?id=1374086418
家,https://music.163.com/#/song?id=498761139
他们总说,https://music.163.com/#/song?id=461473716
追,https://music.163.com/#/song?id=521797953
欺,https://music.163.com/#/song?id=1389806911
Don‘t Cry（WOMAN DON'T CRY remix）,https://music.163.com/#/song?id=1326220438
