歌曲名称,歌曲url
悬溺,https://music.163.com/#/song?id=1397345903
甜而不腻,https://music.163.com/#/song?id=1368349338
定义,https://music.163.com/#/song?id=1385919432
恋人未满（抖音男版片段）（Cover：S.H.E）,https://music.163.com/#/song?id=1333264363
囍（Chinese Wedding）,https://music.163.com/#/song?id=1303289043
烤山药（Chinese yam）,https://music.163.com/#/song?id=1395654132
没有泪点,https://music.163.com/#/song?id=1358848617
巷子和树,https://music.163.com/#/song?id=1373503466
Something to know,https://music.163.com/#/song?id=1358848619
向山,https://music.163.com/#/song?id=1358852245
烫嘴歌（remix烫嘴）,https://music.163.com/#/song?id=1318008605
不拆穿 (Cover : Son Tung),https://music.163.com/#/song?id=1374661098
FM99.9:无人电台,https://music.163.com/#/song?id=1358852241
没结尾的结尾,https://music.163.com/#/song?id=1313558696
梁山伯与茱丽叶（抖音片段）（Cover：卓文萱）,https://music.163.com/#/song?id=1370955985
杰杰布鲁根,https://music.163.com/#/song?id=1358848618
吃着棉花糖走在云朵上,https://music.163.com/#/song?id=1368349337
就不告诉你,https://music.163.com/#/song?id=1358848616
秘密,https://music.163.com/#/song?id=1343208210
中国有流行,https://music.163.com/#/song?id=1358852243
如果的事（Cover：群星）,https://music.163.com/#/song?id=1372646494
星期六（Saturday）,https://music.163.com/#/song?id=533089843
Help her,https://music.163.com/#/song?id=1328261145
最初的位置（浪漫满屋）（Cover：李宝蓝）（Cover：李宝蓝）,https://music.163.com/#/song?id=1375985254
在这里,https://music.163.com/#/song?id=1358852242
无人电台,https://music.163.com/#/song?id=571903230
Help Her,https://music.163.com/#/song?id=1358848615
童话世界,https://music.163.com/#/song?id=1337233932
Revolution（创世纪）,https://music.163.com/#/song?id=524715685
I can take it,https://music.163.com/#/song?id=519304492
FM99.9：无人电台（伴奏）,https://music.163.com/#/song?id=1347300565
一天一遍,https://music.163.com/#/song?id=496089054
发条人,https://music.163.com/#/song?id=435289824
序曲：SOS,https://music.163.com/#/song?id=1328254650
青蛙作曲家,https://music.163.com/#/song?id=496617477
值得感慨,https://music.163.com/#/song?id=518896579
help her（伴奏）,https://music.163.com/#/song?id=1347297569
HOT-XM（《奇葩兄妹》第二季片头曲） - (网剧《奇葩兄妹》第二季片头曲),https://music.163.com/#/song?id=476534774
又见奇葩兄妹（网络剧《奇葩兄妹》第二季主题曲） - (《奇葩兄妹》网剧第二季主题曲),https://music.163.com/#/song?id=475672185
