歌曲名称,歌曲url
你是人间四月天,https://music.163.com/#/song?id=1344897943
写给黄淮,https://music.163.com/#/song?id=1334295185
暖一杯茶,https://music.163.com/#/song?id=1371780785
南风北巷,https://music.163.com/#/song?id=1325702742
写给黄淮（demo）,https://music.163.com/#/song?id=1306400549
你是我所有的梦,https://music.163.com/#/song?id=1317542136
解忧,https://music.163.com/#/song?id=1349381229
过期的青春,https://music.163.com/#/song?id=1378926893
驻马店西,https://music.163.com/#/song?id=1342633205
一个人的狂欢,https://music.163.com/#/song?id=1400390603
不甘心的甘愿,https://music.163.com/#/song?id=1340678372
下雨的杭州,https://music.163.com/#/song?id=1391433967
一个人的城市,https://music.163.com/#/song?id=1356464825
渺无音信,https://music.163.com/#/song?id=1383914586
何必要,https://music.163.com/#/song?id=1359357928
关于高考的岁月,https://music.163.com/#/song?id=1343610114
少年依然在,https://music.163.com/#/song?id=1330551810
假如我,https://music.163.com/#/song?id=1353236929
我们都是无名之辈,https://music.163.com/#/song?id=1364123417
听众的故事,https://music.163.com/#/song?id=1351723410
你是人间四月天 伴奏,https://music.163.com/#/song?id=1344897985
写给黄淮-伴奏,https://music.163.com/#/song?id=1334327208
一个人的狂欢（伴奏）,https://music.163.com/#/song?id=1400424266
写给黄淮（demo） 伴奏,https://music.163.com/#/song?id=1307060266
暖一杯茶（伴奏）,https://music.163.com/#/song?id=1374490172
南风北巷 伴奏,https://music.163.com/#/song?id=1326256858
你是我所有的梦 伴奏,https://music.163.com/#/song?id=1323534074
下雨的杭州（伴奏）,https://music.163.com/#/song?id=1391439166
关于高考的岁月 伴奏,https://music.163.com/#/song?id=1343601810
解忧 伴奏,https://music.163.com/#/song?id=1349379681
渺无音信（伴奏）,https://music.163.com/#/song?id=1383954086
我们都是无名之辈 伴奏,https://music.163.com/#/song?id=1364123711
驻马店西 伴奏,https://music.163.com/#/song?id=1342622984
何必要 伴奏,https://music.163.com/#/song?id=1359366412
假如我 伴奏,https://music.163.com/#/song?id=1353240052
不甘心的甘愿 伴奏,https://music.163.com/#/song?id=1340675655
听众的故事 伴奏,https://music.163.com/#/song?id=1351724186
一个人的城市 伴奏,https://music.163.com/#/song?id=1356480109
少年依然在 伴奏,https://music.163.com/#/song?id=1330559221
