歌曲名称,歌曲url
雅俗共赏,https://music.163.com/#/song?id=411214279
有何不可,https://music.163.com/#/song?id=167876
雨幕 - (新天龙八部端游主题曲),https://music.163.com/#/song?id=1397105439
素颜,https://music.163.com/#/song?id=167827
幻听,https://music.163.com/#/song?id=167655
惊鸿一面,https://music.163.com/#/song?id=28854182
玫瑰花的葬礼,https://music.163.com/#/song?id=27646687
如果当时,https://music.163.com/#/song?id=167870
庐州月,https://music.163.com/#/song?id=167850
断桥残雪,https://music.163.com/#/song?id=167937
清明雨上,https://music.163.com/#/song?id=167882
天龙八部之宿敌 - (网游《天龙八部3》主题曲),https://music.163.com/#/song?id=167691
多余的解释,https://music.163.com/#/song?id=167873
你若成风,https://music.163.com/#/song?id=5255987
灰色头像,https://music.163.com/#/song?id=167844
半城烟沙,https://music.163.com/#/song?id=167744
城府,https://music.163.com/#/song?id=167885
千百度,https://music.163.com/#/song?id=167732
我乐意,https://music.163.com/#/song?id=554191378
最佳歌手,https://music.163.com/#/song?id=412902950
山水之间,https://music.163.com/#/song?id=28802028
如约而至,https://music.163.com/#/song?id=573384240
大千世界,https://music.163.com/#/song?id=569213279
燕归巢,https://music.163.com/#/song?id=402073807
我想牵着你的手,https://music.163.com/#/song?id=167903
叹服,https://music.163.com/#/song?id=167841
千古,https://music.163.com/#/song?id=34040693
认错,https://music.163.com/#/song?id=167888
绝代风华 - (天下3十周年主题曲),https://music.163.com/#/song?id=1327456179
全球变冷,https://music.163.com/#/song?id=167679
想象之中,https://music.163.com/#/song?id=167705
摄影艺术,https://music.163.com/#/song?id=415792563
明智之举,https://music.163.com/#/song?id=862099032
今年勇,https://music.163.com/#/song?id=448144319
拆东墙,https://music.163.com/#/song?id=167712
蝴蝶的时间,https://music.163.com/#/song?id=521415426
七夕,https://music.163.com/#/song?id=28953350
江湖  - (网剧《画江湖之不良人》主题曲),https://music.163.com/#/song?id=428095913
老古董,https://music.163.com/#/song?id=557584658
医生,https://music.163.com/#/song?id=167715
飞蛾,https://music.163.com/#/song?id=167968
南山忆,https://music.163.com/#/song?id=167786
星座书上,https://music.163.com/#/song?id=167894
降温,https://music.163.com/#/song?id=167727
河山大好,https://music.163.com/#/song?id=167709
平行宇宙,https://music.163.com/#/song?id=418603441
深夜书店,https://music.163.com/#/song?id=465677131
内线,https://music.163.com/#/song?id=167891
伤声,https://music.163.com/#/song?id=167752
弹指一挥间,https://music.163.com/#/song?id=28952258
