歌曲名称,歌曲url
曾经的你,https://music.163.com/#/song?id=167975
蓝莲花,https://music.163.com/#/song?id=168091
像风一样自由,https://music.163.com/#/song?id=167880
故乡,https://music.163.com/#/song?id=168053
旅行,https://music.163.com/#/song?id=167802
执着,https://music.163.com/#/song?id=167897
时光,https://music.163.com/#/song?id=168089
完美生活,https://music.163.com/#/song?id=168087
家,https://music.163.com/#/song?id=167751
漫步,https://music.163.com/#/song?id=168097
世外桃源,https://music.163.com/#/song?id=25657384
那一年,https://music.163.com/#/song?id=168153
空谷幽兰,https://music.163.com/#/song?id=25657380
喜悦,https://music.163.com/#/song?id=25657383
温暖,https://music.163.com/#/song?id=168147
救赎之旅,https://music.163.com/#/song?id=25657385
我的爱 - (慕思《觉/醒》视频主题曲),https://music.163.com/#/song?id=1303026566
难忘的一天,https://music.163.com/#/song?id=167766
少年,https://music.163.com/#/song?id=167774
永隔一江水,https://music.163.com/#/song?id=29732733
九月,https://music.163.com/#/song?id=168142
我们,https://music.163.com/#/song?id=167747
星空,https://music.163.com/#/song?id=168100
礼物,https://music.163.com/#/song?id=167842
此时此刻,https://music.163.com/#/song?id=25657379
方向,https://music.163.com/#/song?id=168143
故事,https://music.163.com/#/song?id=167743
逍遥行,https://music.163.com/#/song?id=25657376
晴朗,https://music.163.com/#/song?id=167871
四季,https://music.163.com/#/song?id=167770
每一刻都是崭新的,https://music.163.com/#/song?id=167820
我的秋天,https://music.163.com/#/song?id=168158
灵岩,https://music.163.com/#/song?id=25657377
爱情,https://music.163.com/#/song?id=25657378
树,https://music.163.com/#/song?id=168020
浮躁,https://music.163.com/#/song?id=168145
秋海,https://music.163.com/#/song?id=167988
天鹅之旅,https://music.163.com/#/song?id=168085
我思念的城市,https://music.163.com/#/song?id=168161
光明之门,https://music.163.com/#/song?id=5262805
第三极 (2016三亚理想音乐节Live),https://music.163.com/#/song?id=1375468239
在别处,https://music.163.com/#/song?id=168160
水妖,https://music.163.com/#/song?id=168165
两天,https://music.163.com/#/song?id=167901
情人,https://music.163.com/#/song?id=168151
青鸟,https://music.163.com/#/song?id=167899
平淡,https://music.163.com/#/song?id=168103
彩虹,https://music.163.com/#/song?id=167874
青鸟II,https://music.163.com/#/song?id=168164
心愿,https://music.163.com/#/song?id=25657382
