歌曲名称,歌曲url
成都,https://music.163.com/#/song?id=436514312
南方姑娘,https://music.163.com/#/song?id=202373
理想,https://music.163.com/#/song?id=29567189
我们的时光,https://music.163.com/#/song?id=29567193
画,https://music.163.com/#/song?id=202369
少年锦时,https://music.163.com/#/song?id=29567192
阿刁 - (Diao),https://music.163.com/#/song?id=447925059
鼓楼 - (The Drum Tower),https://music.163.com/#/song?id=447926067
三十岁的女人,https://music.163.com/#/song?id=29567191
八十年代的歌 - (Song Of The 80s),https://music.163.com/#/song?id=447925066
吉姆餐厅,https://music.163.com/#/song?id=29567187
十九岁 - (At The Age of Nineteen),https://music.163.com/#/song?id=530995556
无法长大,https://music.163.com/#/song?id=437608773
玛丽 - (Mary),https://music.163.com/#/song?id=447925058
朵 - (Dorr),https://music.163.com/#/song?id=447926063
让我偷偷看你,https://music.163.com/#/song?id=33166602
未给姐姐递出的信,https://music.163.com/#/song?id=202368
成都 - (Chengdu),https://music.163.com/#/song?id=447926071
彩虹下面 - (电影《西虹市首富》推广曲),https://music.163.com/#/song?id=1295824647
静下来,https://music.163.com/#/song?id=517567264
已是两条路上的人,https://music.163.com/#/song?id=28111471
孤独 - (Left Alone),https://music.163.com/#/song?id=447925063
北京的冬天,https://music.163.com/#/song?id=29567185
我们的时光,https://music.163.com/#/song?id=421563096
妈妈,https://music.163.com/#/song?id=202377
梦中的哈德森,https://music.163.com/#/song?id=29567190
再也不会去丽江,https://music.163.com/#/song?id=34852810
小屋,https://music.163.com/#/song?id=29567194
人家,https://music.163.com/#/song?id=202367
成都 (Live),https://music.163.com/#/song?id=456185373
月亮粑粑 (Live),https://music.163.com/#/song?id=460628183
背影,https://music.163.com/#/song?id=202376
再见北京 - (Goodbye! Beijing!),https://music.163.com/#/song?id=447925067
南方姑娘 (弹唱版),https://music.163.com/#/song?id=433018042
不开的唇,https://music.163.com/#/song?id=202370
无法长大 - (Unable To Grow Up),https://music.163.com/#/song?id=447925070
浮游,https://music.163.com/#/song?id=29567186
开往北京的火车,https://music.163.com/#/song?id=202375
赵小雷,https://music.163.com/#/song?id=202371
理想 (Live),https://music.163.com/#/song?id=459159128
窑上路 - (Yao-shang Road),https://music.163.com/#/song?id=447926068
民谣,https://music.163.com/#/song?id=433018041
未给姐姐递出的信 ,https://music.163.com/#/song?id=29810320
画,https://music.163.com/#/song?id=29810321
Over,https://music.163.com/#/song?id=202374
阿刁,https://music.163.com/#/song?id=571338415
南方姑娘 (Live版),https://music.163.com/#/song?id=553544127
朵儿 (Live版),https://music.163.com/#/song?id=553546118
画 (Live版),https://music.163.com/#/song?id=553534113
鼓楼 (Live版),https://music.163.com/#/song?id=553546120
