歌曲名称,歌曲url
水星记,https://music.163.com/#/song?id=441491828
保留,https://music.163.com/#/song?id=442869203
我们俩,https://music.163.com/#/song?id=85571
凄美地 ,https://music.163.com/#/song?id=436346833
想着你,https://music.163.com/#/song?id=442867218
It's Always The Little Things,https://music.163.com/#/song?id=1327566544
情歌两三首,https://music.163.com/#/song?id=85578
在云端,https://music.163.com/#/song?id=442869201
每个眼神都只身荒野,https://music.163.com/#/song?id=442869204
幸运大门,https://music.163.com/#/song?id=85569
落地之前,https://music.163.com/#/song?id=442869196
不明下落,https://music.163.com/#/song?id=507336695
把你的外套留在深巷,https://music.163.com/#/song?id=442869198
下次再进站,https://music.163.com/#/song?id=442867220
有什么奇怪,https://music.163.com/#/song?id=442867219
不要想太多,https://music.163.com/#/song?id=85575
不是说好的吗,https://music.163.com/#/song?id=85595
阳光里的时光梯,https://music.163.com/#/song?id=85590
微微,https://music.163.com/#/song?id=85587
懂得寂寞,https://music.163.com/#/song?id=85583
朵朵,https://music.163.com/#/song?id=85585
小希望,https://music.163.com/#/song?id=85573
今天还是明天,https://music.163.com/#/song?id=85598
口袋里的对不起,https://music.163.com/#/song?id=85606
下个入口,https://music.163.com/#/song?id=85597
冷战,https://music.163.com/#/song?id=85600
亚萨神殿,https://music.163.com/#/song?id=85608
1985,https://music.163.com/#/song?id=85610
无邪,https://music.163.com/#/song?id=85604
简约主义,https://music.163.com/#/song?id=85599
谜城,https://music.163.com/#/song?id=85581
No!Oh!,https://music.163.com/#/song?id=85602
