歌曲名称,歌曲url
你的答案,https://music.163.com/#/song?id=1400256289
太多 - (原唱：陈冠蒲),https://music.163.com/#/song?id=1343756008
太多（Cover：陈冠蒲）,https://music.163.com/#/song?id=1339315554
二十四（demo）,https://music.163.com/#/song?id=1397856100
胸大的姑娘（Cover：留声玩具）,https://music.163.com/#/song?id=1362009196
曾经的你（Cover：许巍）,https://music.163.com/#/song?id=1355664545
你的答案 (伴奏),https://music.163.com/#/song?id=1400258140
出山（Cover：花粥）,https://music.163.com/#/song?id=1347959274
太多（伴奏） - (原唱：陈冠蒲),https://music.163.com/#/song?id=1346865680
鲸鱼（Cover：阿冗）,https://music.163.com/#/song?id=1385958867
