歌曲名称,歌曲url
富士山下,https://music.163.com/#/song?id=65766
淘汰,https://music.163.com/#/song?id=65528
好久不见,https://music.163.com/#/song?id=65538
我们 - (电影《后来的我们》主题曲),https://music.163.com/#/song?id=551816010
阴天快乐,https://music.163.com/#/song?id=28563317
红玫瑰,https://music.163.com/#/song?id=65533
最佳损友,https://music.163.com/#/song?id=65800
爱情转移 - (电影《爱情呼叫转移》主题曲),https://music.163.com/#/song?id=65536
你给我听好,https://music.163.com/#/song?id=28481103
浮夸,https://music.163.com/#/song?id=66282
一丝不挂,https://music.163.com/#/song?id=64634
孤独患者,https://music.163.com/#/song?id=64093
可以了,https://music.163.com/#/song?id=28481818
单车(Live),https://music.163.com/#/song?id=64561
K歌之王 (Live),https://music.163.com/#/song?id=65919
人来人往 (Live),https://music.163.com/#/song?id=65923
苦瓜,https://music.163.com/#/song?id=64293
白玫瑰,https://music.163.com/#/song?id=65761
十年(Live),https://music.163.com/#/song?id=31877628
倾城,https://music.163.com/#/song?id=27867449
内疚,https://music.163.com/#/song?id=64126
葡萄成熟时,https://music.163.com/#/song?id=66285
于心有愧,https://music.163.com/#/song?id=64797
约定(Live),https://music.163.com/#/song?id=64443
完,https://music.163.com/#/song?id=64048
落花流水,https://music.163.com/#/song?id=64922
梦想天空分外蓝,https://music.163.com/#/song?id=25638273
因为爱情 - (电影《将爱情进行到底》主题曲),https://music.163.com/#/song?id=64317
斯德哥尔摩情人,https://music.163.com/#/song?id=27483204
不如不见,https://music.163.com/#/song?id=65769
十面埋伏 (Live),https://music.163.com/#/song?id=65904
陀飞轮,https://music.163.com/#/song?id=64638
沙龙,https://music.163.com/#/song?id=64833
明年今日 (2007 Live),https://music.163.com/#/song?id=65312
陪你度过漫长岁月 - (电影《陪安东尼度过漫长岁月》主题曲),https://music.163.com/#/song?id=35403523
最冷一天,https://music.163.com/#/song?id=186331
相信你的人 - (电影《银河补习班》推广曲),https://music.163.com/#/song?id=1376091684
失忆蝴蝶,https://music.163.com/#/song?id=27483203
婚礼的祝福,https://music.163.com/#/song?id=67572
无人之境,https://music.163.com/#/song?id=64625
无条件 (Live),https://music.163.com/#/song?id=34509411
夕阳无限好,https://music.163.com/#/song?id=66272
裙下之臣,https://music.163.com/#/song?id=65758
Shall We Talk (Live),https://music.163.com/#/song?id=65855
阿牛,https://music.163.com/#/song?id=66265
四季,https://music.163.com/#/song?id=437802725
承诺(香港版),https://music.163.com/#/song?id=5251209
等(Live),https://music.163.com/#/song?id=64566
心的距离,https://music.163.com/#/song?id=64699
Sleep Alone - (电影《陪安东尼度过漫长岁月》英文主题曲),https://music.163.com/#/song?id=36539010
