歌曲名称,歌曲url
放生（Cover：范逸臣）,https://music.163.com/#/song?id=1369303149
爱要坦荡荡（Cover：萧潇）,https://music.163.com/#/song?id=1353785994
别想他（吉他键盘弹唱版）（Cover：郭力凡）,https://music.163.com/#/song?id=1359026694
甜不辣（Cover：郑国锋）,https://music.163.com/#/song?id=1377005412
不值得（Cover：梦飞船）,https://music.163.com/#/song?id=1377981143
口是心非（Cover：张雨生）,https://music.163.com/#/song?id=1339232756
我愿（Cover：阿虾）,https://music.163.com/#/song?id=1363592859
不是因为寂寞才想你（Cover：雷婷）,https://music.163.com/#/song?id=1396375939
痴心绝对(吉他弹唱版）（Cover：李圣杰）,https://music.163.com/#/song?id=1363592785
我知道（Cover：BY2）,https://music.163.com/#/song?id=1369285770
孤芳自赏（Cover：杨小壮）,https://music.163.com/#/song?id=1396377124
我还想她（Cover：林俊杰）,https://music.163.com/#/song?id=1369292558
环游星空（Cover：Gifty）,https://music.163.com/#/song?id=1352045218
娃娃脸（情侣合唱版）（Cover：后弦）,https://music.163.com/#/song?id=1359028641
想自由（Cover：林宥嘉）,https://music.163.com/#/song?id=1392317882
嚣张（Cover：en）,https://music.163.com/#/song?id=1392328313
心安理得（Cover：王天戈）,https://music.163.com/#/song?id=1363592853
孤身（Cover：徐秉龙）,https://music.163.com/#/song?id=1383967643
时迁（Cover：耳朵玥）,https://music.163.com/#/song?id=1396377126
你走以后（Cover：王恩信Est）,https://music.163.com/#/song?id=1396377106
我走后（Cover：小咪）,https://music.163.com/#/song?id=1377005532
妓和不如（Cover：隔壁老樊）,https://music.163.com/#/song?id=1346157571
你瞒我瞒(吉他弹唱版）（Cover：陈柏宇）,https://music.163.com/#/song?id=1392317884
杀死那个石家庄人（Cover：万能青年旅店）,https://music.163.com/#/song?id=1351841862
四块五（Cover：隔壁老樊）,https://music.163.com/#/song?id=1377005454
表态（Cover：梁博）,https://music.163.com/#/song?id=1396377129
带我走（Cover：沈以诚）,https://music.163.com/#/song?id=1396375920
拾忆（Cover：张翰）,https://music.163.com/#/song?id=1396377122
你的姑娘（吉他弹唱版）（Cover：隔壁老樊）,https://music.163.com/#/song?id=1363592896
爱有双重魔力（Cover：By2）,https://music.163.com/#/song?id=1359028597
风度（Cover：汪苏泷）,https://music.163.com/#/song?id=1383966981
除了爱情春天和樱花（Cover：High4）,https://music.163.com/#/song?id=1392328308
山楂树之恋（吉他弹唱版）（Cover：大能人）,https://music.163.com/#/song?id=1392328311
和你（Cover：余佳运）,https://music.163.com/#/song?id=1359026894
此生不换（Cover：青鸟飞鱼）,https://music.163.com/#/song?id=1392328336
像鱼（Cover：王贰浪）,https://music.163.com/#/song?id=1363593578
耿（Cover：汪苏泷）,https://music.163.com/#/song?id=1377961945
4U(吉他弹唱版）（Cover：Vinida万妮达）,https://music.163.com/#/song?id=1376994010
后继者（Cover：任然）,https://music.163.com/#/song?id=1401596411
爱丫爱丫（Cover：By2）,https://music.163.com/#/song?id=1401596410
岁月神偷（Cover：金玟岐）,https://music.163.com/#/song?id=1363593434
我还有点糊涂（弹唱版熊出没主题曲）（Cover：刘晨）,https://music.163.com/#/song?id=1359028632
蝴蝶泉边（Cover：黄雅莉）,https://music.163.com/#/song?id=1377981131
爱的华尔兹（Cover：郑爽）,https://music.163.com/#/song?id=1383967651
圈住你（Cover：一口甜）,https://music.163.com/#/song?id=1383967649
等你喜欢我（Cover：姜鹏Calm）,https://music.163.com/#/song?id=1377961952
You（=I）（Cover：脸红的思春期）,https://music.163.com/#/song?id=1339240321
忽而今夏（Cover：汪苏泷）,https://music.163.com/#/song?id=1345901541
有一种悲伤（Cover：A-Lin）,https://music.163.com/#/song?id=1358575160
够钟（Cover：周柏豪）,https://music.163.com/#/song?id=1396377105
