歌曲名称,歌曲url
理想三旬,https://music.163.com/#/song?id=31445772
一如年少模样,https://music.163.com/#/song?id=463157222
离家最近的路 - (网易云音乐温暖2019特别企划),https://music.163.com/#/song?id=1342592226
途中,https://music.163.com/#/song?id=34380395
行歌,https://music.163.com/#/song?id=449578813
早春的树,https://music.163.com/#/song?id=35476188
别送我 - (电影《乘风破浪》插曲),https://music.163.com/#/song?id=456185374
梦乡,https://music.163.com/#/song?id=1379873872
这不是理想的歌,https://music.163.com/#/song?id=1359780673
遇见相似的灵魂,https://music.163.com/#/song?id=479403036
额尔古纳,https://music.163.com/#/song?id=434974723
来信,https://music.163.com/#/song?id=399340140
鱼书,https://music.163.com/#/song?id=522529247
你只是经过,https://music.163.com/#/song?id=36080207
人在旅途 - (电视剧《我们的四十年》插曲),https://music.163.com/#/song?id=1318568346
童梦月光谣,https://music.163.com/#/song?id=1368757970
你们俩,https://music.163.com/#/song?id=1371378560
霓虹深处,https://music.163.com/#/song?id=41642352
多嘴,https://music.163.com/#/song?id=536099018
橙梦,https://music.163.com/#/song?id=1320098188
这个与直觉相冲突的时代,https://music.163.com/#/song?id=1359775550
归还,https://music.163.com/#/song?id=543988606
船子,https://music.163.com/#/song?id=415793152
食味,https://music.163.com/#/song?id=463157237
刺猬,https://music.163.com/#/song?id=1387574461
隐身药水,https://music.163.com/#/song?id=1330993997
金黄色,https://music.163.com/#/song?id=542697096
茶酒伴 (Live),https://music.163.com/#/song?id=509728845
昨日的你,https://music.163.com/#/song?id=532940282
歌的故事,https://music.163.com/#/song?id=1359787495
还乡去,https://music.163.com/#/song?id=463159195
浓烟下,https://music.163.com/#/song?id=41655197
雨好,https://music.163.com/#/song?id=444269613
与荒野,https://music.163.com/#/song?id=529823910
犴达罕,https://music.163.com/#/song?id=528271287
蓝色元年,https://music.163.com/#/song?id=450222075
打翻了,https://music.163.com/#/song?id=1389880535
夏的短篇,https://music.163.com/#/song?id=1387574308
蜜,https://music.163.com/#/song?id=463159192
山还是山,https://music.163.com/#/song?id=536570856
窗,https://music.163.com/#/song?id=472948192
无名,https://music.163.com/#/song?id=1331006232
放倒的蜜,https://music.163.com/#/song?id=515787775
