歌曲名称,歌曲url
多想在平庸的生活拥抱你,https://music.163.com/#/song?id=1346104327
这一生关于你的风景,https://music.163.com/#/song?id=1383927243
我曾,https://music.163.com/#/song?id=1336856777
四块五,https://music.163.com/#/song?id=1365221826
关于孤独我想说的话 ,https://music.163.com/#/song?id=1346093140
你的姑娘,https://music.163.com/#/song?id=1356499052
初秋和你,https://music.163.com/#/song?id=1400050991
失乐,https://music.163.com/#/song?id=1392971370
得不到你,https://music.163.com/#/song?id=1373236574
山海（Cover：草东没有派对）,https://music.163.com/#/song?id=1331997081
姬和不如,https://music.163.com/#/song?id=1325484613
幻听（Cover：许嵩）,https://music.163.com/#/song?id=1309130038
世本常态,https://music.163.com/#/song?id=1334327077
姑娘（Cover：王北车）,https://music.163.com/#/song?id=1308348956
醒着醉（Cover：马良）,https://music.163.com/#/song?id=1301212183
不找了 （Cover：郭旭）,https://music.163.com/#/song?id=1346472029
游,https://music.163.com/#/song?id=1361195373
姬和不如demo,https://music.163.com/#/song?id=554095819
敬长安,https://music.163.com/#/song?id=1390025989
男孩（Cover 梁博）,https://music.163.com/#/song?id=511124094
我和我的祖国,https://music.163.com/#/song?id=1394169337
关于孤独我想说的话Demo,https://music.163.com/#/song?id=1317529766
如谁所愿,https://music.163.com/#/song?id=1379445889
多想在平庸的生活拥抱你demo,https://music.163.com/#/song?id=1327196794
四块五的妞demo,https://music.163.com/#/song?id=546372110
我曾demo,https://music.163.com/#/song?id=549059804
世本常态demo,https://music.163.com/#/song?id=1322081384
魔鬼中的天使（Cover 田馥甄）,https://music.163.com/#/song?id=1296590092
过命的弟兄,https://music.163.com/#/song?id=1391441275
隔壁老樊 - 天分（隔壁老樊 remix）,https://music.163.com/#/song?id=568741706
你是姑娘不是我的新娘,https://music.163.com/#/song?id=479107928
我曾Demo,https://music.163.com/#/song?id=1327199767
雪暴 - (电影《雪暴》同名宣传曲),https://music.163.com/#/song?id=1359376992
如谁所愿demo,https://music.163.com/#/song?id=560395415
再见盘山-demo,https://music.163.com/#/song?id=562728001
初秋和你（伴奏）,https://music.163.com/#/song?id=1400050990
多想在平庸的生活拥抱你（伴奏）,https://music.163.com/#/song?id=1345693402
我曾（伴奏）,https://music.163.com/#/song?id=1336856778
这一生关于你的风景（伴奏）,https://music.163.com/#/song?id=1383925726
四块五（伴奏）,https://music.163.com/#/song?id=1365225156
我和我的祖国 (伴奏),https://music.163.com/#/song?id=1394169342
关于孤独我想说的话（伴奏）,https://music.163.com/#/song?id=1346104135
姬和不如 (伴奏),https://music.163.com/#/song?id=1325484614
你的姑娘（伴奏）,https://music.163.com/#/song?id=1356499057
世本常态（伴奏）,https://music.163.com/#/song?id=1334297075
失乐（伴奏）,https://music.163.com/#/song?id=1392970602
游-伴奏,https://music.163.com/#/song?id=1361195410
得不到你（伴奏）,https://music.163.com/#/song?id=1373246101
雪暴-伴奏,https://music.163.com/#/song?id=1359382346
如谁所愿（伴奏）,https://music.163.com/#/song?id=1379458217
