歌曲名称,歌曲url
嗜好,https://music.163.com/#/song?id=1391891631
晚安,https://music.163.com/#/song?id=1359356908
祝你爱我到天荒地老,https://music.163.com/#/song?id=1369601580
有可能的夜晚 - (原唱：曾轶可),https://music.163.com/#/song?id=1344814341
孤单心事,https://music.163.com/#/song?id=1361988914
我只能离开 - (电视剧《初恋那件小事》推广曲),https://music.163.com/#/song?id=1398283847
胆小鬼,https://music.163.com/#/song?id=1353443885
追风,https://music.163.com/#/song?id=1377544581
很需要,https://music.163.com/#/song?id=1396023850
好喜欢你,https://music.163.com/#/song?id=1381794108
靠近,https://music.163.com/#/song?id=1399104439
不难,https://music.163.com/#/song?id=1393166863
家国天下 - (《率土之滨》手游周年庆典曲),https://music.163.com/#/song?id=1398278738
孤单心事 (伴奏),https://music.163.com/#/song?id=1362032618
晚安 (Live),https://music.163.com/#/song?id=1388608524
晚安 (伴奏),https://music.163.com/#/song?id=1359553820
嗜好（伴奏）,https://music.163.com/#/song?id=1391894155
祝你爱我到天荒地老（伴奏）,https://music.163.com/#/song?id=1369601757
胆小鬼 (伴奏),https://music.163.com/#/song?id=1353444843
靠近 (伴奏),https://music.163.com/#/song?id=1399103654
好喜欢你 (伴奏),https://music.163.com/#/song?id=1381791386
很需要 (伴奏),https://music.163.com/#/song?id=1396026218
追风（伴奏）,https://music.163.com/#/song?id=1377551080
不难 (伴奏),https://music.163.com/#/song?id=1393168540
家国天下（伴奏）,https://music.163.com/#/song?id=1398279831
